,id,value,struc_dict
0,Ag0.02Ge2Pd1.98Sr1-MP-mp-978986-synth_doped.cif,2.64,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[4.127164255059669, 0.0, -1.6335006383046717], [-0.6465272925912613, 4.076209912182743, -1.6335006383046717], [0.0, 0.0, 6.03054834]], 'pbc': (True, True, True), 'a': 4.438672, 'b': 4.438672, 'c': 6.03054834, 'alpha': 111.59328752, 'beta': 111.59328752, 'gamma': 89.99999998999999, 'volume': 101.4530475362769}, 'properties': {}, 'sites': [{'species': [{'element': 'Sr', 'occu': 1.0}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Sr0', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Ge', 'occu': 1.0}], 'abc': [0.37057, 0.37057, 0.74114], 'properties': {}, 'label': 'Ge1', 'xyz': [1.2898196391819179, 1.510521107157559, 3.258827933634476]}, {'species': [{'element': 'Ge', 'occu': 1.0}], 'abc': [0.6294299999999999, 0.6294299999999999, 0.25886], 'properties': {}, 'label': 'Ge1', 'xyz': [2.1908173232864896, 2.5656888050251836, -0.49528087024381917]}, {'species': [{'element': 'Pd', 'occu': 0.99}, {'element': 'Ag', 'occu': 0.01}], 'abc': [0.25, 0.75, 0.5], 'properties': {}, 'label': 'Ag3', 'xyz': [0.5468955943214713, 3.057157434137057, 1.3817735316953283]}, {'species': [{'element': 'Pd', 'occu': 0.99}, {'element': 'Ag', 'occu': 0.01}], 'abc': [0.75, 0.25, 0.5], 'properties': {}, 'label': 'Ag3', 'xyz': [2.9337413681469364, 1.0190524780456858, 1.3817735316953283]}]}"
1,Ag0.15Sn0.85Te1-MP-mp-1883-synth_doped.cif,2.15,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[3.929737216862404, 0.0, 2.2688348400000002], [1.3099124056208014, 3.7049917790994082, 2.2688348400000002], [0.0, 0.0, 4.53766968]], 'pbc': (True, True, True), 'a': 4.53766968, 'b': 4.53766968, 'c': 4.53766968, 'alpha': 59.99999999999999, 'beta': 59.99999999999999, 'gamma': 60.00000000000001, 'volume': 66.06685550473439}, 'properties': {}, 'sites': [{'species': [{'element': 'Sn', 'occu': 0.85}, {'element': 'Ag', 'occu': 0.15}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Ag1', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Te', 'occu': 1.0}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Te2', 'xyz': [2.6198248112416027, 1.8524958895497041, 4.5376696800000005]}]}"
2,Ag0.1Ge2Pd1.9Sr1-MP-mp-978986-synth_doped.cif,2.62,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[4.127164255059669, 0.0, -1.6335006383046717], [-0.6465272925912613, 4.076209912182743, -1.6335006383046717], [0.0, 0.0, 6.03054834]], 'pbc': (True, True, True), 'a': 4.438672, 'b': 4.438672, 'c': 6.03054834, 'alpha': 111.59328752, 'beta': 111.59328752, 'gamma': 89.99999998999999, 'volume': 101.4530475362769}, 'properties': {}, 'sites': [{'species': [{'element': 'Sr', 'occu': 1.0}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Sr0', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Ge', 'occu': 1.0}], 'abc': [0.37057, 0.37057, 0.74114], 'properties': {}, 'label': 'Ge1', 'xyz': [1.2898196391819179, 1.510521107157559, 3.258827933634476]}, {'species': [{'element': 'Ge', 'occu': 1.0}], 'abc': [0.6294299999999999, 0.6294299999999999, 0.25886], 'properties': {}, 'label': 'Ge1', 'xyz': [2.1908173232864896, 2.5656888050251836, -0.49528087024381917]}, {'species': [{'element': 'Pd', 'occu': 0.95}, {'element': 'Ag', 'occu': 0.05}], 'abc': [0.25, 0.75, 0.5], 'properties': {}, 'label': 'Ag3', 'xyz': [0.5468955943214713, 3.057157434137057, 1.3817735316953283]}, {'species': [{'element': 'Pd', 'occu': 0.95}, {'element': 'Ag', 'occu': 0.05}], 'abc': [0.75, 0.25, 0.5], 'properties': {}, 'label': 'Ag3', 'xyz': [2.9337413681469364, 1.0190524780456858, 1.3817735316953283]}]}"
3,Ag0.1In0.9Te1-MP-mp-2597-synth_doped.cif,1.2,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[3.8482990284538405, 0.0, 2.2218164800000006], [1.282766342817947, 3.628211118737751, 2.2218164800000006], [0.0, 0.0, 4.44363296]], 'pbc': (True, True, True), 'a': 4.44363296, 'b': 4.44363296, 'c': 4.44363296, 'alpha': 59.999999999999986, 'beta': 59.999999999999986, 'gamma': 59.999999999999986, 'volume': 62.04396446612153}, 'properties': {}, 'sites': [{'species': [{'element': 'In', 'occu': 0.9}, {'element': 'Ag', 'occu': 0.1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Ag1', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Te', 'occu': 1.0}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Te2', 'xyz': [2.565532685635894, 1.8141055593688755, 4.44363296]}]}"
4,Ag0.2Ba1Si1.8-MP-mp-7275-synth_doped.cif,3.2,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[6.771439, 0.0, 4.146310548485777e-16], [1.0889304426803713e-15, 6.771439, 4.146310548485777e-16], [0.0, 0.0, 6.771439]], 'pbc': (True, True, True), 'a': 6.771439, 'b': 6.771439, 'c': 6.771439, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 310.48663568862327}, 'properties': {}, 'sites': [{'species': [{'element': 'Ba', 'occu': 1.0}], 'abc': [0.125, 0.125, 0.125], 'properties': {}, 'label': 'Ba0', 'xyz': [0.8464298750000001, 0.846429875, 0.8464298750000001]}, {'species': [{'element': 'Ba', 'occu': 1.0}], 'abc': [0.625, 0.375, 0.875], 'properties': {}, 'label': 'Ba0', 'xyz': [4.232149375, 2.539289625, 5.925009125]}, {'species': [{'element': 'Ba', 'occu': 1.0}], 'abc': [0.375, 0.875, 0.625], 'properties': {}, 'label': 'Ba0', 'xyz': [2.5392896250000008, 5.925009125, 4.2321493750000005]}, {'species': [{'element': 'Ba', 'occu': 1.0}], 'abc': [0.875, 0.625, 0.375], 'properties': {}, 'label': 'Ba0', 'xyz': [5.925009125000001, 4.232149375, 2.5392896250000003]}, {'species': [{'element': 'Si', 'occu': 0.9}, {'element': 'Ag', 'occu': 0.1}], 'abc': [0.081912, 0.581912, 0.918088], 'properties': {}, 'label': 'Ag2', 'xyz': [0.5546621113680007, 3.9403816113679997, 6.216776888632]}, {'species': [{'element': 'Si', 'occu': 0.9}, {'element': 'Ag', 'occu': 0.1}], 'abc': [0.16808800000000002, 0.331912, 0.668088], 'properties': {}, 'label': 'Ag2', 'xyz': [1.1381976386320005, 2.247521861368, 4.523917138632]}, {'species': [{'element': 'Si', 'occu': 0.9}, {'element': 'Ag', 'occu': 0.1}], 'abc': [0.418088, 0.418088, 0.418088], 'properties': {}, 'label': 'Ag2', 'xyz': [2.8310573886320007, 2.8310573886320003, 2.8310573886320007]}, {'species': [{'element': 'Si', 'occu': 0.9}, {'element': 'Ag', 'occu': 0.1}], 'abc': [0.331912, 0.668088, 0.16808800000000002], 'properties': {}, 'label': 'Ag2', 'xyz': [2.247521861368001, 4.523917138632, 1.1381976386320005]}, {'species': [{'element': 'Si', 'occu': 0.9}, {'element': 'Ag', 'occu': 0.1}], 'abc': [0.581912, 0.918088, 0.08191199999999998], 'properties': {}, 'label': 'Ag2', 'xyz': [3.9403816113680006, 6.216776888632, 0.5546621113680006]}, {'species': [{'element': 'Si', 'occu': 0.9}, {'element': 'Ag', 'occu': 0.1}], 'abc': [0.668088, 0.16808800000000002, 0.331912], 'properties': {}, 'label': 'Ag2', 'xyz': [4.523917138632, 1.138197638632, 2.2475218613680004]}, {'species': [{'element': 'Si', 'occu': 0.9}, {'element': 'Ag', 'occu': 0.1}], 'abc': [0.918088, 0.08191199999999998, 0.581912], 'properties': {}, 'label': 'Ag2', 'xyz': [6.216776888632, 0.5546621113679999, 3.940381611368]}, {'species': [{'element': 'Si', 'occu': 0.9}, {'element': 'Ag', 'occu': 0.1}], 'abc': [0.831912, 0.831912, 0.831912], 'properties': {}, 'label': 'Ag2', 'xyz': [5.633241361368, 5.6332413613679995, 5.633241361368]}]}"
5,Ag0.2Ge2Pd1.8Sr1-MP-mp-978986-synth_doped.cif,2.52,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[4.127164255059669, 0.0, -1.6335006383046717], [-0.6465272925912613, 4.076209912182743, -1.6335006383046717], [0.0, 0.0, 6.03054834]], 'pbc': (True, True, True), 'a': 4.438672, 'b': 4.438672, 'c': 6.03054834, 'alpha': 111.59328752, 'beta': 111.59328752, 'gamma': 89.99999998999999, 'volume': 101.4530475362769}, 'properties': {}, 'sites': [{'species': [{'element': 'Sr', 'occu': 1.0}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Sr0', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Ge', 'occu': 1.0}], 'abc': [0.37057, 0.37057, 0.74114], 'properties': {}, 'label': 'Ge1', 'xyz': [1.2898196391819179, 1.510521107157559, 3.258827933634476]}, {'species': [{'element': 'Ge', 'occu': 1.0}], 'abc': [0.6294299999999999, 0.6294299999999999, 0.25886], 'properties': {}, 'label': 'Ge1', 'xyz': [2.1908173232864896, 2.5656888050251836, -0.49528087024381917]}, {'species': [{'element': 'Pd', 'occu': 0.9}, {'element': 'Ag', 'occu': 0.1}], 'abc': [0.25, 0.75, 0.5], 'properties': {}, 'label': 'Ag3', 'xyz': [0.5468955943214713, 3.057157434137057, 1.3817735316953283]}, {'species': [{'element': 'Pd', 'occu': 0.9}, {'element': 'Ag', 'occu': 0.1}], 'abc': [0.75, 0.25, 0.5], 'properties': {}, 'label': 'Ag3', 'xyz': [2.9337413681469364, 1.0190524780456858, 1.3817735316953283]}]}"
6,Ag0.438Hg0.562-MP-mp-758523-synth_doped.cif,0.64,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[5.531463, 0.0, 3.3870442287760075e-16], [8.895270936148275e-16, 5.531463, 3.3870442287760075e-16], [0.0, 0.0, 5.531463]], 'pbc': (True, True, True), 'a': 5.531463, 'b': 5.531463, 'c': 5.531463, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 169.246632081953}, 'properties': {}, 'sites': [{'species': [{'element': 'Ag', 'occu': 0.876}, {'element': 'Hg', 'occu': 0.124}], 'abc': [0.148817, 0.351183, 0.648817], 'properties': {}, 'label': 'Hg1', 'xyz': [0.8231757292710002, 1.942555770729, 3.588907229271]}, {'species': [{'element': 'Ag', 'occu': 0.876}, {'element': 'Hg', 'occu': 0.124}], 'abc': [0.351183, 0.648817, 0.14881699999999998], 'properties': {}, 'label': 'Hg1', 'xyz': [1.9425557707290007, 3.588907229271, 0.8231757292710001]}, {'species': [{'element': 'Ag', 'occu': 0.876}, {'element': 'Hg', 'occu': 0.124}], 'abc': [0.648817, 0.14881699999999998, 0.351183], 'properties': {}, 'label': 'Hg1', 'xyz': [3.588907229271, 0.8231757292709998, 1.9425557707290002]}, {'species': [{'element': 'Ag', 'occu': 0.876}, {'element': 'Hg', 'occu': 0.124}], 'abc': [0.851183, 0.851183, 0.851183], 'properties': {}, 'label': 'Hg1', 'xyz': [4.708287270729, 4.7082872707289996, 4.708287270729]}, {'species': [{'element': 'Hg', 'occu': 1.0}], 'abc': [0.154768, 0.154768, 0.154768], 'properties': {}, 'label': 'Hg2', 'xyz': [0.856093465584, 0.8560934655839999, 0.856093465584]}, {'species': [{'element': 'Hg', 'occu': 1.0}], 'abc': [0.345232, 0.845232, 0.654768], 'properties': {}, 'label': 'Hg2', 'xyz': [1.9096380344160004, 4.675369534415999, 3.6218249655840005]}, {'species': [{'element': 'Hg', 'occu': 1.0}], 'abc': [0.654768, 0.345232, 0.845232], 'properties': {}, 'label': 'Hg2', 'xyz': [3.6218249655840005, 1.9096380344159998, 4.675369534415999]}, {'species': [{'element': 'Hg', 'occu': 1.0}], 'abc': [0.845232, 0.654768, 0.345232], 'properties': {}, 'label': 'Hg2', 'xyz': [4.675369534416, 3.621824965584, 1.9096380344160002]}]}"
7,Ag0.4Sn0.6Te1-MP-mp-1229006-synth_doped.cif,1.95,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[4.34439, 0.0, 2.660171653873885e-16], [6.986311958028682e-16, 4.34439, 2.660171653873885e-16], [0.0, 0.0, 6.074553]], 'pbc': (True, True, True), 'a': 4.34439, 'b': 4.34439, 'c': 6.074553, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 114.64943961316845}, 'properties': {}, 'sites': [{'species': [{'element': 'Ag', 'occu': 0.8}, {'element': 'Sn', 'occu': 0.2}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Sn1', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Sn', 'occu': 1.0}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Sn2', 'xyz': [2.1721950000000003, 2.172195, 3.0372765000000004]}, {'species': [{'element': 'Te', 'occu': 1.0}], 'abc': [0.0, 0.0, 0.5], 'properties': {}, 'label': 'Te3', 'xyz': [0.0, 0.0, 3.0372765]}, {'species': [{'element': 'Te', 'occu': 1.0}], 'abc': [0.5, 0.5, 0.0], 'properties': {}, 'label': 'Te4', 'xyz': [2.1721950000000003, 2.172195, 2.660171653873885e-16]}]}"
8,Ag0.55Hg0.45-MP-mp-770433.cif,0.0,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[3.219134, 0.0, 1.9711510745632078e-16], [-1.609567001170563, 2.787851001672977, 1.971150639813594e-16], [0.0, 0.0, 46.742527]], 'pbc': (True, True, True), 'a': 3.219134, 'b': 3.21913329, 'c': 46.742527, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.00000732, 'volume': 419.4892168110958}, 'properties': {}, 'sites': [{'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.0, 0.0, 0.030589], 'properties': {}, 'label': 'Ag0', 'xyz': [0.0, 0.0, 1.429807158403]}, {'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.0, 0.0, 0.12517], 'properties': {}, 'label': 'Ag1', 'xyz': [0.0, 0.0, 5.85076210459]}, {'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.0, 0.0, 0.226396], 'properties': {}, 'label': 'Ag2', 'xyz': [0.0, 0.0, 10.582321142692]}, {'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.0, 0.0, 0.322736], 'properties': {}, 'label': 'Ag3', 'xyz': [0.0, 0.0, 15.085496193872002]}, {'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.0, 0.0, 0.424183], 'properties': {}, 'label': 'Ag4', 'xyz': [0.0, 0.0, 19.827385330441]}, {'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.0, 0.0, 0.524705], 'properties': {}, 'label': 'Ag5', 'xyz': [0.0, 0.0, 24.526037629535]}, {'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.0, 0.0, 0.62493], 'properties': {}, 'label': 'Ag6', 'xyz': [0.0, 0.0, 29.210807398110003]}, {'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.0, 0.0, 0.723931], 'properties': {}, 'label': 'Ag7', 'xyz': [0.0, 0.0, 33.838364313637]}, {'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.0, 0.0, 0.821687], 'properties': {}, 'label': 'Ag8', 'xyz': [0.0, 0.0, 38.407726783049]}, {'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.3333333333333333, 0.6666666666666666, 0.077552], 'properties': {}, 'label': 'Ag9', 'xyz': [-7.803753199198127e-10, 1.8585673344486513, 3.624976453904]}, {'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.3333333333333333, 0.6666666666666666, 0.274578], 'properties': {}, 'label': 'Ag10', 'xyz': [-7.803753199198127e-10, 1.8585673344486513, 12.834469578606]}, {'species': [{'element': 'Hg', 'occu': 1.0}], 'abc': [0.0, 0.0, 0.92574], 'properties': {}, 'label': 'Hg11', 'xyz': [0.0, 0.0, 43.27142694498]}, {'species': [{'element': 'Hg', 'occu': 1.0}], 'abc': [0.3333333333333333, 0.6666666666666666, 0.175547], 'properties': {}, 'label': 'Hg12', 'xyz': [-7.803753199198127e-10, 1.8585673344486513, 8.205510387269001]}, {'species': [{'element': 'Hg', 'occu': 1.0}], 'abc': [0.3333333333333333, 0.6666666666666666, 0.373703], 'properties': {}, 'label': 'Hg13', 'xyz': [-7.803753199198127e-10, 1.8585673344486513, 17.467822567481]}, {'species': [{'element': 'Hg', 'occu': 1.0}], 'abc': [0.3333333333333333, 0.6666666666666666, 0.474389], 'properties': {}, 'label': 'Hg14', 'xyz': [-7.803753199198127e-10, 1.8585673344486513, 22.174140641003003]}, {'species': [{'element': 'Hg', 'occu': 1.0}], 'abc': [0.3333333333333333, 0.6666666666666666, 0.574923], 'properties': {}, 'label': 'Hg15', 'xyz': [-7.803753199198127e-10, 1.8585673344486513, 26.873353850421]}, {'species': [{'element': 'Hg', 'occu': 1.0}], 'abc': [0.3333333333333333, 0.6666666666666666, 0.674511], 'properties': {}, 'label': 'Hg16', 'xyz': [-7.803753199198127e-10, 1.8585673344486513, 31.528348629297]}, {'species': [{'element': 'Hg', 'occu': 1.0}], 'abc': [0.3333333333333333, 0.6666666666666666, 0.773131], 'properties': {}, 'label': 'Hg17', 'xyz': [-7.803753199198127e-10, 1.8585673344486513, 36.138096642037006]}, {'species': [{'element': 'Hg', 'occu': 1.0}], 'abc': [0.3333333333333333, 0.6666666666666666, 0.870642], 'properties': {}, 'label': 'Hg18', 'xyz': [-7.803753199198127e-10, 1.8585673344486513, 40.696007192334]}, {'species': [{'element': 'Hg', 'occu': 1.0}], 'abc': [0.3333333333333333, 0.6666666666666666, 0.980957], 'properties': {}, 'label': 'Hg19', 'xyz': [-7.803753199198127e-10, 1.8585673344486513, 45.852409058339]}]}"
9,Ag0.5Ba1Si1.5-MP-mp-9867.cif,1.21,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[7.946485834300208, 0.0, 3.450551121395842], [3.9732429169838936, 7.510791999016371, 1.7252755599233731], [0.0, 0.0, 10.87550039]], 'pbc': (True, True, True), 'a': 8.663309999999997, 'b': 8.67036513, 'c': 10.87550039, 'alpha': 78.5223692, 'beta': 66.52838007, 'gamma': 60.02691353999998, 'volume': 649.0977396701074}, 'properties': {}, 'sites': [{'species': [{'element': 'Ba', 'occu': 1.0}], 'abc': [0.124412, 0.0, 0.751176], 'properties': {}, 'label': 'Ba0', 'xyz': [0.9886381956169574, 0.0, 8.598704847073739]}, {'species': [{'element': 'Ba', 'occu': 1.0}], 'abc': [0.8755879999999999, 0.0, 0.24882400000000005], 'properties': {}, 'label': 'Ba0', 'xyz': [6.9578476386832495, 0.0, 5.727346664322103]}, {'species': [{'element': 'Ba', 'occu': 1.0}], 'abc': [0.625588, 0.5, 0.748824], 'properties': {}, 'label': 'Ba0', 'xyz': [6.957847638600145, 3.7553959995081856, 11.165096858934827]}, {'species': [{'element': 'Ba', 'occu': 1.0}], 'abc': [0.8744120000000001, 0.5, 0.25117600000000007], 'properties': {}, 'label': 'Ba0', 'xyz': [8.93512402983406, 3.7553959995081856, 6.611505773082309]}, {'species': [{'element': 'Ba', 'occu': 1.0}], 'abc': [0.125797, 0.5, 0.748406], 'properties': {}, 'label': 'Ba1', 'xyz': [2.9862655369894098, 3.7553959995081856, 9.43599650425826]}, {'species': [{'element': 'Ba', 'occu': 1.0}], 'abc': [0.37420300000000006, 0.5, 0.251594], 'properties': {}, 'label': 'Ba1', 'xyz': [4.960220297144588, 3.7553959995081856, 4.890055006363035]}, {'species': [{'element': 'Ba', 'occu': 1.0}], 'abc': [0.6242030000000001, 0.0, 0.751594], 'properties': {}, 'label': 'Ba1', 'xyz': [4.960220297227693, 0.0, 10.327805201750309]}, {'species': [{'element': 'Ba', 'occu': 1.0}], 'abc': [0.37579699999999994, 0.0, 0.24840600000000013], 'properties': {}, 'label': 'Ba1', 'xyz': [2.9862655370725144, 0.0, 3.998246309645534]}, {'species': [{'element': 'Si', 'occu': 1.0}], 'abc': [0.087733, 0.340656, 0.505929], 'properties': {}, 'label': 'Si2', 'xyz': [2.0506780808287255, 2.558596359216921, 6.392683709486986]}, {'species': [{'element': 'Si', 'occu': 1.0}], 'abc': [0.4063380000000001, 0.6593439999999999, 0.505929], 'properties': {}, 'label': 'Si2', 'xyz': [5.848693038793707, 4.9521956397994495, 8.041871167160169]}, {'species': [{'element': 'Si', 'occu': 1.0}], 'abc': [0.934318, 0.6593439999999999, 0.49407100000000004], 'properties': {}, 'label': 'Si2', 'xyz': [10.044278629587529, 4.9521956397994495, 9.734731464610128]}, {'species': [{'element': 'Si', 'occu': 1.0}], 'abc': [0.571611, 0.340656, 0.49407100000000004], 'properties': {}, 'label': 'Si2', 'xyz': [5.895807753358241, 2.558596359216921, 7.933367801381145]}, {'species': [{'element': 'Si', 'occu': 1.0}], 'abc': [0.6622669999999999, 0.15934399999999999, 0.994071], 'properties': {}, 'label': 'Si2', 'xyz': [5.895807753388377, 1.1967996402912646, 13.37111799652158]}, {'species': [{'element': 'Si', 'occu': 1.0}], 'abc': [0.3436619999999999, 0.8406560000000001, 0.994071], 'properties': {}, 'label': 'Si2', 'xyz': [6.07103571240729, 6.313992358725107, 13.447206098771769]}, {'species': [{'element': 'Si', 'occu': 1.0}], 'abc': [0.815682, 0.8406560000000001, 0.005929000000000073], 'properties': {}, 'label': 'Si2', 'xyz': [9.821935955913675, 6.313992358725107, 4.329396532717658]}, {'species': [{'element': 'Si', 'occu': 1.0}], 'abc': [0.17838900000000013, 0.15934399999999999, 0.005929000000000073], 'properties': {}, 'label': 'Si2', 'xyz': [2.0506780808588623, 1.1967996402912646, 0.954933514627424]}, {'species': [{'element': 'Si', 'occu': 1.0}], 'abc': [0.090378, 0.819244, 0.5], 'properties': {}, 'label': 'Si3', 'xyz': [3.9732429170139367, 6.153171280442168, 7.1630257550633765]}, {'species': [{'element': 'Si', 'occu': 1.0}], 'abc': [0.40962200000000004, 0.18075600000000003, 0.5], 'properties': {}, 'label': 'Si3', 'xyz': [3.9732429171200607, 1.3576207185742033, 7.163025755557917]}, {'species': [{'element': 'Si', 'occu': 1.0}], 'abc': [0.659622, 0.680756, 0.0], 'properties': {}, 'label': 'Si3', 'xyz': [7.94648583418706, 5.113016718082389, 3.4505511208685644]}, {'species': [{'element': 'Si', 'occu': 1.0}], 'abc': [0.34037799999999985, 0.31924399999999986, 0.0], 'properties': {}, 'label': 'Si3', 'xyz': [3.9732429170970405, 2.397775280933981, 1.7252755604506504]}, {'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.166967, 0.666066, 0.0], 'properties': {}, 'label': 'Ag4', 'xyz': [3.9732429170393972, 5.002683183616838, 1.725275560182021]}, {'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.833033, 0.33393399999999995, 0.0], 'properties': {}, 'label': 'Ag4', 'xyz': [7.9464858342447044, 2.5081088153995323, 3.4505511211371944]}, {'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.583033, 0.833934, 0.5], 'properties': {}, 'label': 'Ag4', 'xyz': [7.946485834161599, 6.263504814907718, 8.88830131574992]}, {'species': [{'element': 'Ag', 'occu': 1.0}], 'abc': [0.916967, 0.16606600000000005, 0.5], 'properties': {}, 'label': 'Ag4', 'xyz': [7.946485834272606, 1.247287184108653, 8.888301316267215]}]}"
