chemsys,parent,n,tc_max,tc_med,example,extra_O
Co-H-Na-O,Na5CoHO4,23,4.734999999999999,3.955,Na0.3Co1D3.6O3.8,3.6027568922305764
Ba-Cu-H-O-Y,Ba4Y(CuO3)3,19,93.8,80.8,Y1Ba2Cu3H5O7,0.1416666666666666
Ca-Cu-O-Sr,Sr3Ca(CuO2)4,19,110.0,2.5,Sr12.5Ca1.5Cu24O41,0.07894736842105265
Ba-Ca-Cu-La-O-Y,Ba8CaY3(CuO2)12,17,83.0,79.0,Y0.6Ca0.4Ba1.1La0.9Cu3O7.18,0.18666666666666676
Ba-Cu-O-Sr-Y,Ba2Sr2Y2Cu6O13,15,86.1,81.0,Y1Ba0.74Sr1.26Cu3O6.98,0.06833333333333336
Bi-Cu-La-O-Sr,Sr3LaCu2(BiO3)4,13,35.5,23.2,Bi1.95Sr1.65La0.4Cu1O6.414,0.07000000000000006
Ba-Ca-Cu-Gd-La-O,Ba3CaLa2Cu6O13,12,80.0,77.5,La1Gd1Ba2Ca2Cu6O14.1,0.09816666666666674
Ba-Cu-La-O-Y,Ba3LaY2(Cu3O7)2,12,69.075,31.1,Y2La2Ba2Cu6O14.45,0.03374999999999995
Ba-Ca-Cu-La-Nd-O,Ba3CaLa2Cu6O13,12,84.0,72.9,Nd0.9Ca0.1Ba0.6La0.4Cu3O6.7,0.19000000000000017
Bi-Cu-La-O-Pb-Sr,Sr2LaCu2(BiO4)2,12,28.4,21.4,Bi1Pb1Sr1.26La0.26Cu1O6,0.07274285714285711
As-Ca-Co-Fe-H,Ca(FeAs)2,9,23.2,13.3,Ca1Fe0.98Co0.02As1H1,0.3333333333333333
B-Ba-Cu-O-Sr-Y,BaSrY(CuO2)4,9,51.0,24.0,Y1Sr1.85Ba0.15Cu2.5B0.5O7,0.023809523809523947
As-Ce-Co-Fe-H,Ce(FeAs3)4,9,23.0,13.5,Ce1Fe0.98Co0.02As1H1,0.3333333333333333
Ca-Cl-Cu-O,Ca2Cu(ClO)2,8,38.0,30.5,Ca2Cu1Cl2.5O2,0.07500000000000018
Ba-Co-Cu-O-Y,Ba2Y(CuO2)3,8,70.0,44.5,Y1Ba1.75Cu2.75Co0.25O7.06,0.1808333333333333
Ba-Ca-Cu-O-Pb-Sr-Y,Sr8CaY3Cu12(PbO4)8,7,77.0,42.0,Pb0.5Sr1.8Ba0.2Y0.85Ca0.15Cu2.5O6.98,0.18571428571428572
Ba-Cu-O-Pr-Y,Ba10PrY4(Cu3O7)5,7,68.3,63.3,Y0.8Pr0.2Ba2Cu3O7.67,0.08333333333333326
Bi-Ca-Cu-O-Sr,Sr2CaCu2(BiO4)2,7,94.2,72.5,Bi8Sr8Ca4Cu9O34.25,0.035073891625615694
Ba-Cu-O-Sm,Ba2Sm(CuO2)4,7,31.8,0.0,Sm1.6Ba1.4Cu3O7.11,0.04214285714285726
Ba-Ca-Cu-La-O-Yb,Ba3CaLa2Cu6O13,6,76.0,71.5,La1.1Yb0.7Ba1.1Ca1.4Cu5O11.692,0.1512527412280703
Ba-Ca-Cu-La-O,Ba3CaLa2Cu6O13,6,76.0,0.0,La2Ca2Ba2Cu3O13.712,0.07344632768361581
Ba-Cu-O-Sm,Ba10Sm5(Cu5O11)3,6,93.5,64.275,Sm1.28Ba1.72Cu3O7.03,0.07499999999999996
Ba-Cu-H-O-Y,Ba2Y(CuO2)4,6,94.5,88.55,Y1Ba2Cu3H0.21O7,0.05380952380952386
Ba-Cu-Fe-O-Y,Ba2Y(CuO2)3,6,85.0,63.9,Y1Ba2Cu2.7Fe0.3O7.15,0.18333333333333335
Cu-La-O-Pb,LaCuPb,6,33.4,18.950000000000003,Pb2Cu0.9La1.1Cu2O8.05,1.1416666666666666
