Material_Name,Chemical_Composition,Material_Class,Film_Thickness,Substrate,Material_Type,Superconductor_Type,Superconducting_Transition_Temperature,Pressure,Crystal_Structure,Lattice_Structure,Space_Group,"Lattice_Constant(a)","Lattice_Constant(b)","Lattice_Constant(c)",Lower_Critical_Field,Upper_Critical_Field,Experimental,DOI
(Ag)0.5/CuTl-1223,(Ag)0.5/(Cu0.5Tl0.5Ba2Ca2Cu3O10-δ),Bulk,,,SC,High-Tc,95 K,,Tetragonal,,P4/mmm,4.45 Å,,14.45 Å,,,TRUE,10.1016/j.pnsc.2015.06.001
(Ag)1.0/CuTl-1223,(Ag)1.0/(Cu0.5Tl0.5Ba2Ca2Cu3O10-δ),Bulk,,,SC,High-Tc,98 K,,Tetragonal,,P4/mmm,4.46 Å,,14.96 Å,,,TRUE,10.1016/j.pnsc.2015.06.001
(Ag)2.0/CuTl-1223,(Ag)2.0/(Cu0.5Tl0.5Ba2Ca2Cu3O10-δ),Bulk,,,SC,High-Tc,102 K,,Tetragonal,,P4/mmm,4.46 Å,,14.97 Å,,,TRUE,10.1016/j.pnsc.2015.06.001
(Au)0.5/(Cu0.5Tl0.5)Ba2Ca2Cu3O10−δ,(Au)0.5/(Cu0.5Tl0.5)Ba2Ca2Cu3O10−δ,Bulk,,,SC,High-Tc,99 K,,Tetragonal,,P4/mmm,4.20 Å,,15.30 Å,,,TRUE,10.1016/j.jallcom.2014.08.162
(Au)1.0/(Cu0.5Tl0.5)Ba2Ca2Cu3O10−δ,(Au)1.0/(Cu0.5Tl0.5)Ba2Ca2Cu3O10−δ,Bulk,,,SC,High-Tc,101 K,,Tetragonal,,P4/mmm,4.19 Å,,15.25 Å,,,TRUE,10.1016/j.jallcom.2014.08.162
(Au)1.5/(Cu0.5Tl0.5)Ba2Ca2Cu3O10−δ,(Au)1.5/(Cu0.5Tl0.5)Ba2Ca2Cu3O10−δ,Bulk,,,SC,High-Tc,96 K,,Tetragonal,,P4/mmm,,,,,,TRUE,10.1016/j.jallcom.2014.08.162
"(Ba,Cs)(Bi0.25Pb0.75)O3","(Ba,Cs)(Bi0.25Pb0.75)O3",Bulk,,,SC,Type-II,9 K,,Distorted Perovskite,,,,,,,,TRUE,10.1016/S0038-1098(98)00125-2
"(Ba,Cs)BiO3","(Ba,Cs)BiO3",,,,SC,High-Tc,35 K,,,,,,,,,,,10.1103/PhysRevB.44.7098
Ba-K-Pb-Sb-Bi-O,"(Ba,K)(Pb,Sb,Bi)O3",Bulk,,,SC,,,,,perovskite,,,,,,,True,10.1103/PhysRevB.46.8542
Barium potassium lead bismuth oxide,"(Ba,K)2(Pb,Bi)O4",Bulk,,,SC,,,,Tetragonal,K2NiF4-type,,,,,,,,10.1103/PhysRevB.47.8187
Barium potassium bismuth oxide,"(Ba,K)BiO3",Bulk,,,SC,,,,,perovskite,,,,,,,,10.1103/PhysRevB.47.8187
Barium potassium bismuth oxide,"(Ba,K)BiO3",Bulk,,,SC,,,,,,,,,,,,,10.1103/PhysRevLett.66.778
"(Ba,K)BiO3","(Ba,K)BiO3",,,,SC,High-Tc,35 K,,,,,,,,,,,10.1103/PhysRevB.44.7098
"(Ba,K)BiO3","(Ba,K)BiO3",Bulk,,,SC,High-Tc,,,,,,,,,,,,10.1103/PhysRevB.48.16011
"(Ba,K)BiO₃","(Ba,K)BiO₃",Bulk,,,SC,High-Tc,,,,,,,,,,,,10.1103/PhysRevB.55.3803
"(Ba,K)BiO₃","(Ba,K)BiO₃",,,,SC,,,,,,,,,,,,,10.1103/PhysRevLett.64.2575
"(Ba,K)Fe2As2","(Ba,K)Fe2As2",Bulk,,,SC,iron-based,~38 K,ambient,,122-type,,,,,,>700 kOe,FALSE,10.1103/PhysRevB.99.104506
"(Ba,K)Fe2As2","(Ba,K)Fe2As2",,,,SC,iron-based,38 K,,,,,,,,,,FALSE,10.1103/PhysRevB.84.144517
"(Ba,K)Fe2As2","(Ba,K)Fe2As2",,,,SC,"iron-based, multiband",,,,,,,,,,,FALSE,10.1103/PhysRevB.108.L180507
Barium potassium iron arsenide,"(Ba,K)Fe2As2",,,,SC,iron-based,,,,,,,,,,,FALSE,10.1103/PhysRevB.83.144511
"(Ba,K)Fe2As2","(Ba,K)Fe2As2",,,,SC,High-Tc/iron-based,,,,ThCr2Si2-type,,,,,,,FALSE,10.1103/PhysRevB.78.060506
"(Ba,K)Fe2As2","(Ba,K)Fe2As2",,,,SC,iron-based,,,,122-type,,,,,,,FALSE,10.1103/PhysRevB.111.054510
"(Ba,K)Fe2As2 (cited)","(Ba,K)Fe2As2",Bulk,,,SC,iron-based,,,,Layered,,,,,,,FALSE,10.1103/PhysRevB.97.174520
"(Ba,K)Fe2As2","(Ba,K)Fe2As2",,,,SC,High-Tc/Iron-based,38 K,,,,,,,,,,FALSE,10.1016/j.physc.2011.05.016
"(Ba,K)Fe2As2","(Ba,K)Fe2As2",Bulk,,,SC,Iron-based,38 K,,,,,,,,,,TRUE,10.1016/j.physc.2010.05.016
