id,decision,checks,reason
B0.67Mg0.33-MP-mp-763-synth_doped.cif,exclude,F_near_duplicate_conflict,MgB2 stoichiometry labeled 6K against canonical 38-39K twins — wrong-phase label
B0.69Mg0.31-MP-mp-763-synth_doped.cif,exclude,F_near_duplicate_conflict,MgB2 stoichiometry labeled 6K against canonical 38-39K twins — wrong-phase label
B2Mg0.9-MP-mp-763-synth_doped.cif,keep,F_near_duplicate_conflict,canonical MgB2 38K — the good twins
B2Mg0.98-MP-mp-763-synth_doped.cif,keep,F_near_duplicate_conflict,canonical MgB2 38K — the good twins
Ba0.074Cu1La1.926O4-MP-mp-1077929-synth_doped.cif,exclude,F_near_duplicate_conflict,"LBCO 0K contradicted by both neighbors within dx<=0.005 (0.066->22.6, 0.075->24)"
Ba0.094Cu1La1.906O4-MP-mp-1077929-synth_doped.cif,keep,F_near_duplicate_conflict,LBCO near-1/8 scatter — partial-suppression reports are real
Ba0.105Cu1La1.895O4-MP-mp-1077929-synth_doped.cif,keep,F_near_duplicate_conflict,LBCO 1/8 stripe anomaly — real suppression valley
Ba0.135Cu1La1.865O4-MP-mp-1077929-synth_doped.cif,keep,F_near_duplicate_conflict,LBCO 1/8 stripe anomaly — real suppression valley
Ba0.158Cu1La1.842O4-MP-mp-1077929-synth_doped.cif,exclude,G_optimal_doping_zero,LBCO 0K at doping where interleaved neighbors are 21-28K — irreconcilable twin
Ba0.174Cu1La1.826O4-MP-mp-1077929-synth_doped.cif,exclude,G_optimal_doping_zero,LBCO 0K at doping where interleaved neighbors are 21-28K — irreconcilable twin
Ba0.1Cu1F2Sr1.9O2-MP-mp-1025280-synth_doped.cif,exclude,A_undoped_insulator_sc,Sr2CuO2F2+x class: nominal comp charge-balances undoped; Tc belongs to excess-F sample
Ba0.25Cu1F2Sr1.75O2-MP-mp-1025280-synth_doped.cif,exclude,A_undoped_insulator_sc,Sr2CuO2F2+x class: nominal comp charge-balances undoped; Tc belongs to excess-F sample
Ba0.25Cu1La1.75O4-MP-mp-1077929-synth_doped.cif,exclude,G_optimal_doping_zero,LBCO 0K at doping where interleaved neighbors are 21-28K — irreconcilable twin
Ba0.275Cu1La1.725O4-MP-mp-1077929-synth_doped.cif,exclude,G_optimal_doping_zero,LBCO 0K at doping where interleaved neighbors are 21-28K — irreconcilable twin
Ba1.72Cu4La0.28Y1O8-MP-mp-6790-synth_doped.cif,keep,F_near_duplicate_conflict,the kept finite twins / monotone member
Ba1.75Cu4Sr0.25Y1O8-MP-mp-6790-synth_doped.cif,exclude,F_near_duplicate_conflict+G_optimal_doping_zero,124 Sr twin conflict: 0K between 76.0/77.7K twins at dx=0.01 — keep the finite twins
Ba1.76Cu4Sr0.24Y1O8-MP-mp-6790-synth_doped.cif,keep,F_near_duplicate_conflict,the kept finite twins / monotone member
Ba1.78Cu4Sr0.22Y1O8-MP-mp-6790-synth_doped.cif,exclude,F_near_duplicate_conflict+G_optimal_doping_zero,124 Sr twin conflict: 0K between 76.0/77.7K twins at dx=0.01 — keep the finite twins
Ba1.7Cu4La0.3Y1O8-MP-mp-6790-synth_doped.cif,exclude,F_near_duplicate_conflict,124 La series monotone (74->18.9 by x=0.28); 52.6K at x=0.30 breaks it
Ba1.8Cu4Sr0.2Y1O8-MP-mp-6790-synth_doped.cif,keep,F_near_duplicate_conflict,the kept finite twins / monotone member
Ba1.9Cu3La0.1Y1O8-MP-mp-1214613-synth_doped.cif,exclude,B_implausible_cu_ox,O8 on a Cu3 123 frame (max O7) — oxygen typo; charge balance Cu 2.97
Ba2.02Cu1.01Tl1.97O6.16-MP-mp-6027-synth_doped.cif,keep,F_near_duplicate_conflict,consistent with branch-1 (dead by d~0.16)
Ba2Ca0.1Cu3Y0.9O7-MP-mp-20674-synth_doped.cif,keep,C_overdoped_dome_violation,Ca-overdoped (70-85K) / Cd-on-Ba isovalent (90K+) 123 — real; naive balance wrong
Ba2Ca0.2Cu3Y0.8O7-MP-mp-20674-synth_doped.cif,keep,C_overdoped_dome_violation,Ca-overdoped (70-85K) / Cd-on-Ba isovalent (90K+) 123 — real; naive balance wrong
Ba2Ca1Cu2Hg1O6.1-MP-mp-6879-synth_doped.cif,keep,F_near_duplicate_conflict,Hg-1212 steep real dome rise 92->127K
Ba2Ca1Cu2Hg1O6.21-MP-mp-6879-synth_doped.cif,keep,F_near_duplicate_conflict,Hg-1212 steep real dome rise 92->127K
Ba2Ca1Cu2Hg1O6.22-MP-mp-6879-synth_doped.cif,keep,F_near_duplicate_conflict,Hg-1212 steep real dome rise 92->127K
Ba2Cd0.1Cu3Y0.9O7-MP-mp-20674-synth_doped.cif,keep,C_overdoped_dome_violation,Ca-overdoped (70-85K) / Cd-on-Ba isovalent (90K+) 123 — real; naive balance wrong
Ba2Cd0.2Cu3Y0.8O7-MP-mp-20674-synth_doped.cif,keep,C_overdoped_dome_violation,Ca-overdoped (70-85K) / Cd-on-Ba isovalent (90K+) 123 — real; naive balance wrong
Ba2Cd0.3Cu3Y0.7O7-MP-mp-20674-synth_doped.cif,keep,C_overdoped_dome_violation,Ca-overdoped (70-85K) / Cd-on-Ba isovalent (90K+) 123 — real; naive balance wrong
Ba2Cu1Hg1O4.01-MP-mp-6562-synth_doped.cif,exclude,A_undoped_insulator_sc+F_near_duplicate_conflict,Hg-1201 64-72K at d=0.01-0.02 — onset is d~0.045 on this series' scale; d-scale conflict
Ba2Cu1Hg1O4.02-MP-mp-6562-synth_doped.cif,exclude,F_near_duplicate_conflict,Hg-1201 64-72K at d=0.01-0.02 — onset is d~0.045 on this series' scale; d-scale conflict
