id,check,tc,cu_ox,reason
Ba0.1Cu1F2Sr1.9O2-MP-mp-1025280-synth_doped.cif,A_undoped_insulator_sc,54.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Ba0.25Cu1F2Sr1.75O2-MP-mp-1025280-synth_doped.cif,A_undoped_insulator_sc,58.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Ba2Cu1Hg1O4.01-MP-mp-6562-synth_doped.cif,A_undoped_insulator_sc,64.5,2.02,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Ba2Cu3Eu1O6.5-MP-mp-1228334.cif,A_undoped_insulator_sc,92.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Ba2Cu3Pr0.15Y0.85O6.5-MP-mp-20897-synth_doped.cif,A_undoped_insulator_sc,35.8,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Cu1F2Sr2O2-MP-mp-1025280.cif,A_undoped_insulator_sc,44.33333333,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Cu1La1.7Sm0.3O4-MP-mp-1077929-synth_doped.cif,A_undoped_insulator_sc,25.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Cu1La1.9Sm0.1O4-MP-mp-1077929-synth_doped.cif,A_undoped_insulator_sc,25.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Cu1La2O4.005-MP-mp-1077929-synth_doped.cif,A_undoped_insulator_sc,32.0,2.01,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Cu1Nd1.85Y0.15O4-MP-mp-4158-synth_doped.cif,A_undoped_insulator_sc,21.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
YBa2Cu3O6.5-MP-mp-20897.cif,A_undoped_insulator_sc,57.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
HgBa2Ca2Cu3O8-MP-mp-22601.cif,A_undoped_insulator_sc,133.75,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
HgBa2CuO4-MP-mp-6562.cif,A_undoped_insulator_sc,95.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
HgBa2CaCu2O6-MP-mp-6879.cif,A_undoped_insulator_sc,122.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Nd2CuO4-MP-mp-4158.cif,A_undoped_insulator_sc,24.45,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Eu2CuO4-MP-mp-22306.cif,A_undoped_insulator_sc,29.45,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
HgBa2Ca3Cu4O10-MP-mp-1228579.cif,A_undoped_insulator_sc,125.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
TmBa2Cu3O6.5-MP-mp-1228146.cif,A_undoped_insulator_sc,50.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Ca0.3Sr0.7CuO2-MP-mp-37514.cif,A_undoped_insulator_sc,110.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Cl2Sr2CuO2-MP-mp-23102.cif,A_undoped_insulator_sc,28.5,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
La1.85Y0.15CuO4-MP-mp-1077929.cif,A_undoped_insulator_sc,20.5,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Nd4Ba2Cu2O10-MP-mp-6704.cif,A_undoped_insulator_sc,93.5,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Sm2BaCuO5-MP-mp-21568.cif,A_undoped_insulator_sc,86.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
La1Ba2Cu3O6.5-MP-mp-1228239.cif,A_undoped_insulator_sc,48.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
Sr0.9Ca0.1CuO2-MP-mp-37514.cif,A_undoped_insulator_sc,80.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
CaCu2Eu2O6-MP-mp-561024.cif,A_undoped_insulator_sc,65.0,2.0,charge-balanced Cu2+ (undoped) with Tc>5K — label from O/cation-doped sample
