id,check,tc,frame,reason
As1Fe1La1O1-MP-mp-20287.cif,FA_parent_claiming_sc,10.2,1111,stoichiometric SDW parent with Tc>5K — label from doped/O-deficient sample
As1Ce1F0.06Fe1O0.94-MP-mp-605060-synth_doped.cif,FF_near_duplicate_conflict,0.0,1111,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As1Ce1F0.08Fe1O0.92-MP-mp-605060-synth_doped.cif,FF_near_duplicate_conflict,27.6,1111,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As1F0.06Fe1Nd1O0.94-MP-mp-622621-synth_doped.cif,FF_near_duplicate_conflict,47.5,1111,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As1F0.075Fe1Sm1O0.925-MP-mp-20349-synth_doped.cif,FF_near_duplicate_conflict,33.0,1111,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As1F0.07Fe1Sm1O0.93-MP-mp-20349-synth_doped.cif,FF_near_duplicate_conflict,33.0,1111,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As1F0.082Fe1Pr1O0.918-MP-mp-22491-synth_doped.cif,FF_near_duplicate_conflict,14.6,1111,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As1F0.085Fe1Sm1O0.915-MP-mp-20349-synth_doped.cif,FF_near_duplicate_conflict,14.0,1111,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As1F0.08Fe1Nd1O0.92-MP-mp-622621-synth_doped.cif,FF_near_duplicate_conflict,35.0,1111,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As1F0.09Fe1Sm1O0.91-MP-mp-20349-synth_doped.cif,FF_near_duplicate_conflict,42.0,1111,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As1F0.14Fe1Sm1O0.86-MP-mp-20349-synth_doped.cif,FF_near_duplicate_conflict,26.9,1111,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As1F0.15Fe1Sm1O0.85-MP-mp-20349-synth_doped.cif,FF_near_duplicate_conflict,44.48888889,1111,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As1F0.1Fe1Pr1O0.9-MP-mp-22491-synth_doped.cif,FF_near_duplicate_conflict,43.5,1111,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As2Ba0.64Fe2K0.36-MP-mp-1223517-synth_doped.cif,FF_near_duplicate_conflict,25.6,122,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As2Ba0.65Fe2K0.35-MP-mp-1223517-synth_doped.cif,FF_near_duplicate_conflict,38.0,122,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As2Ba0.663Fe2K0.337-MP-mp-1223517-synth_doped.cif,FF_near_duplicate_conflict,38.0,122,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As2Ba1Fe1.24Ru0.76-MP-mp-1227957-synth_doped.cif,FF_near_duplicate_conflict,7.1,122,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As2Ba1Fe1.25Ru0.75-MP-mp-1227957-synth_doped.cif,FF_near_duplicate_conflict,21.0,122,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As2Co0.22Eu1Fe1.78-MP-mp-20890-synth_doped.cif,FF_near_duplicate_conflict,21.0,122,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As2Co0.24Eu1Fe1.76-MP-mp-20890-synth_doped.cif,FF_near_duplicate_conflict,2.0,122,composition within 1% of a row whose Tc differs by >12K — twin-report conflict
As2Co0.15Fe1.85Sr1-MP-mp-4488-synth_doped.cif,FG_optimal_window_zero,0.0,122,canonical SC doping window labeled Tc=0 — sample/label artifact candidate
As2Co0.1Fe1.9Sr1-MP-mp-4488-synth_doped.cif,FG_optimal_window_zero,0.0,122,canonical SC doping window labeled Tc=0 — sample/label artifact candidate
