id,tc_38,std_38,tc_49,std_49,tc_51,std_51,tc_mean,tc_min,tc_max,formula,e_above_hull,band_gap,is_metal,theoretical,nsites,spacegroup,crystal_system,is_magnetic,magnetization,density,known_parent,chem,supercon_tc_exact,supercon_tc_family,supercon
mp-1228341,165.679,66.924,55.478,27.861,83.247,15.609,101.468,55.478,165.679,Ba4GdY(Cu3O7)2,0.03107767987980825,0.0,True,True,26.0,Pmmm,Orthorhombic,True,6.921762,6.4665116994454435,False,cuprate-like,,,none
mp-6616,85.554,5.33,76.12,7.14,59.277,7.488,73.65033333333334,59.277,85.554,Ba2HoCu3O7,0.03185183445513573,0.0,True,False,13.0,Pmmm,Orthorhombic,False,0.000595,6.951037797112263,True,cuprate-like,92.475,92.9,exact
mp-622110,78.661,15.097,79.275,2.539,59.754,7.908,72.56333333333333,59.754,79.275,Ba2ErCu3O7,0.0334336014102643,0.0,True,False,13.0,Pmmm,Orthorhombic,False,0.0002229,6.953388218922399,True,cuprate-like,92.03333333,93.0,exact
mp-6583,82.437,21.986,71.283,6.04,60.248,6.47,71.32266666666666,60.248,82.437,Ba2Er(CuO2)4,0.0,0.0,True,False,15.0,Cmmm,Orthorhombic,False,0.0486496,6.611623594933274,True,cuprate-like,,93.0,family
mp-1227782,95.33,33.067,53.628,25.223,64.324,9.714,71.094,53.628,95.33,BaSrEuCu3O7,0.07727402403846018,0.0,True,True,13.0,Pmm2,Orthorhombic,True,5.9591055,6.426470239851476,False,cuprate-like,,84.0,family
mp-20324,69.061,10.598,75.306,4.093,60.655,11.24,68.34066666666668,60.655,75.306,Ba2LuCu3O7,0.04030031350961849,0.0,True,False,13.0,Pmmm,Orthorhombic,False,0.0008559,7.109359728618785,True,cuprate-like,88.24,88.24,exact
mp-6205,77.482,10.084,67.097,7.506,59.885,6.147,68.15466666666667,59.885,77.482,Ba2Ho(CuO2)4,0.0,0.0,True,False,15.0,Cmmm,Orthorhombic,False,0.0019325,6.575196070317174,True,cuprate-like,76.2,92.9,exact
mp-622211,66.617,16.151,68.696,3.046,62.009,20.264,65.774,62.009,68.696,Ba2EuCu3O7,0.06960399634615744,0.0,True,False,13.0,Pmmm,Orthorhombic,True,6.0235113,6.754290340777778,True,cuprate-like,,94.9,family
mp-1228347,91.083,30.551,49.879,5.33,47.797,7.002,62.919666666666664,47.797,91.083,Ba6Nd2Y(CuO2)12,0.007057754222221213,0.0,True,True,45.0,P2/m,Monoclinic,False,0.0005265,6.130060718037713,False,cuprate-like,,0.0,family
mp-20674,66.316,9.961,59.787,8.772,60.622,9.47,62.241666666666674,59.787,66.316,Ba2YCu3O7,0.03137591266026263,0.0,True,False,13.0,Pmmm,Orthorhombic,False,0.0001806,6.1982851947478474,True,cuprate-like,,100.1,family
mp-1227765,69.746,7.053,53.388,17.605,55.903,12.368,59.678999999999995,53.388,69.746,BaSrErCu3O7,0.03688484057692509,0.0,True,True,13.0,Pmm2,Orthorhombic,False,0.0002399,6.709776354983416,False,cuprate-like,,78.0,family
mp-22601,64.161,9.482,56.485,5.028,57.848,5.589,59.498,56.485,64.161,Ba2Ca2Cu3HgO8,0.01764729989582925,0.0,True,False,16.0,P4/mmm,Tetragonal,False,0.0379919,5.894777210953216,True,cuprate-like,,135.8,family
mp-19813,78.243,20.565,48.761,24.173,50.86,19.184,59.28799999999999,48.761,78.243,Ba2GdCu3O7,0.028265016923083586,0.0,True,False,13.0,Pmmm,Orthorhombic,True,6.9263247,6.78148940920939,True,cuprate-like,,94.2,family
mp-622105,61.446,4.597,52.801,8.237,57.938,7.306,57.395,52.801,61.446,Ba2DyCu3O7,0.030416161153853594,0.0,True,False,13.0,Pmmm,Orthorhombic,False,0.0108911,6.8822023188879005,False,cuprate-like,,94.0,family
mp-6790,60.707,7.79,51.806,8.251,59.236,6.855,57.24966666666666,51.806,60.707,Ba2Y(CuO2)4,0.0,0.0,True,False,15.0,Cmmm,Orthorhombic,False,0.0004643,5.936250576630431,True,cuprate-like,,100.1,family
mp-622210,48.824,7.67,60.236,13.158,49.959,12.39,53.00633333333334,48.824,60.236,Ba2LaCu3O7,0.02084320237179149,0.0,True,False,13.0,Pmmm,Orthorhombic,False,6.1e-06,6.420495656449533,True,cuprate-like,89.6,93.0,exact
mp-20824,50.213,7.001,46.363,9.18,53.145,23.704,49.907000000000004,46.363,53.145,Sr2CaTlCu2O7,0.016897883365389887,0.0,True,False,13.0,P4/mmm,Tetragonal,False,0.0332603,6.222853047535142,True,cuprate-like,,86.0,family
mp-632802,42.411,8.611,55.723,9.137,48.967,10.474,49.03366666666667,42.411,55.723,Ba2CaTlCu2O7,0.04441317975426706,0.0,True,True,13.0,P4/mmm,Tetragonal,False,0.0282595,6.541687873191552,True,cuprate-like,80.8,124.0,exact
mp-6691,47.582,22.198,38.102,11.611,52.396,4.835,46.026666666666664,38.102,52.396,Ba2Dy(CuO2)4,0.0,0.0,True,False,15.0,Cmmm,Orthorhombic,False,0.0002446,6.53673645352818,True,cuprate-like,74.46666667,94.0,exact
mp-1218536,45.533,8.231,37.155,4.082,55.221,8.129,45.96966666666666,37.155,55.221,Sr4CaLaTl2(Cu2O7)2,0.01078144028845962,0.0,True,True,26.0,I4/mmm,Tetragonal,False,0.0002262,6.487106010691743,False,cuprate-like,,90.0,family
mp-622108,60.439,21.445,21.806,18.639,43.99,6.239,42.07833333333334,21.806,60.439,Ba2TmCu3O7,0.03600769173077545,0.0,True,False,13.0,Pmmm,Orthorhombic,False,1.21e-05,7.0353256702275155,True,cuprate-like,90.83333333,92.5,exact
mp-510625,22.215,74.216,46.378,27.251,54.068,14.19,40.887,22.215,54.068,CrCuO2,0.0,1.5566,False,False,8.0,R-3m,Trigonal,False,0.0,5.600365267501025,True,cuprate-like,132.0,132.0,exact
mp-505562,22.239,74.289,46.311,27.199,53.971,14.191,40.84033333333333,22.239,53.971,CrCuO2,0.0005819424999851108,1.8593000000000002,False,False,8.0,P6_3/mmc,Hexagonal,False,5.9999995,5.601225586515344,False,cuprate-like,132.0,132.0,exact
mp-561182,36.952,7.866,46.741,13.959,35.619,7.497,39.77066666666666,35.619,46.741,Ba4Tl2Cu2HgO10,0.012531148059202302,0.0,True,False,19.0,I4/mmm,Tetragonal,False,4.25e-05,7.1762612812135735,False,cuprate-like,,87.5,family
mp-1147544,37.055,7.724,48.723,41.416,32.329,18.621,39.369,32.329,48.723,Ba2TlCu3O7,0.0668505374358972,0.0,True,True,13.0,Pmmm,Orthorhombic,False,0.0129184,7.175343513646755,False,cuprate-like,,95.0,family
mp-6879,34.297,10.609,42.625,7.435,40.243,11.534,39.055,34.297,42.625,Ba2CaCu2HgO6,0.017586767638889,0.0,True,False,12.0,P4/mmm,Tetragonal,False,0.0305618,6.158075347440864,True,cuprate-like,,135.8,family
mp-6562,32.752,5.537,49.285,2.201,33.223,1.487,38.42,32.752,49.285,Ba2CuHgO4,0.023434038125,0.0,True,False,8.0,P4/mmm,Tetragonal,False,0.0003984,6.582036480524145,True,cuprate-like,,98.0,family
mp-22719,44.726,3.581,34.21,5.639,33.805,6.184,37.580333333333336,33.805,44.726,Ba2NdCu3O7,0.018014905320515417,0.0,True,False,13.0,Pmmm,Orthorhombic,False,0.0444215,6.532421117157853,True,cuprate-like,,95.3,family
mp-654374,35.165,10.325,39.687,10.651,36.027,4.578,36.95966666666667,35.165,39.687,Ba2YTlCu2O7,0.0,0.0,True,False,13.0,P4/mmm,Tetragonal,False,0.2426102,6.955225977571638,True,cuprate-like,0.0,0.0,exact
mp-20942,36.609,13.823,49.299,18.709,23.111,8.92,36.339666666666666,23.111,49.299,Ba2TlCuO5,0.06578380888888535,0.0,True,False,9.0,P4/mmm,Tetragonal,False,0.1466806,7.190638072563586,True,cuprate-like,95.0,95.0,exact
mp-1214738,55.867,22.46,33.499,18.43,19.163,1.027,36.17633333333333,19.163,55.867,Ba2EuCu2HgO7,0.14803318942309218,0.0,True,True,13.0,P4/mmm,Tetragonal,True,5.3500434,7.402116238493791,False,cuprate-like,,,none
mp-556733,31.112,4.391,33.895,2.886,37.25,1.306,34.08566666666667,31.112,37.25,Ba2Ca3Tl2(CuO3)4,0.0074423933333358505,0.0,True,False,23.0,I4/mmm,Tetragonal,False,0.0001168,6.370942551961824,False,cuprate-like,,124.0,family
mp-1227433,33.021,6.75,37.264,13.827,31.017,3.085,33.76733333333333,31.017,37.264,BaSrY(CuO2)4,0.0016457893333274853,0.0,True,True,15.0,Amm2,Orthorhombic,False,0.0003177,5.672539153013061,False,cuprate-like,,92.0,family
mp-6885,32.374,3.749,32.524,3.598,36.354,3.895,33.75066666666667,32.374,36.354,Ba2CaTl2(CuO4)2,0.005910402314822427,0.0,True,False,15.0,I4/mmm,Tetragonal,False,0.0018692,7.06827161468878,True,cuprate-like,,124.0,family
mp-21451,42.64,3.737,32.235,9.291,25.185,4.763,33.35333333333333,25.185,42.64,Ba2SmCu3O7,0.024943947852570147,0.0,True,False,13.0,Pmmm,Orthorhombic,False,0.0079753,6.6734873686522,True,cuprate-like,,94.0,family
mp-6710,50.913,20.518,15.711,3.916,29.988,1.958,32.204,15.711,50.913,Ba2Tm(CuO2)4,0.0,0.0,True,False,15.0,Cmmm,Orthorhombic,True,0.6321529,6.848694026546832,True,cuprate-like,79.42,92.5,exact
mp-1227474,49.589,10.341,17.496,2.163,27.616,7.894,31.566999999999997,17.496,49.589,BaSrSmCu3O7,0.03243922149039147,0.0,True,True,13.0,Pmm2,Orthorhombic,False,0.0001704,6.442567674536902,False,cuprate-like,,80.0,family
mp-1214583,44.048,15.956,25.941,17.342,21.603,5.157,30.530666666666672,21.603,44.048,Ba2YCu2HgO7,0.10872860137820428,0.0,True,True,13.0,P4/mmm,Tetragonal,True,0.4458811,6.824211243332254,False,cuprate-like,,,none
