id,formula,tc,origin,cluster,n,n_zero,n_pos,action
Y1Ba2Cu2.95Al0.05O7-MP-mp-20674.cif,Y1Ba2Cu2.95Al0.05O7,88.0,new,Al-Ba-Cu-O-Y|Y1Ba2Cu2.95Al0.05O6.93,4,2,2,minority sc (2 zero vs 2 SC)
Y1Ba2Cu2.95Al0.05O6.93-MP-mp-20674.cif,Y1Ba2Cu2.95Al0.05O6.93,91.0,new,Al-Ba-Cu-O-Y|Y1Ba2Cu2.95Al0.05O6.93,4,2,2,minority sc (2 zero vs 2 SC)
Ba1Fe1.93Co0.07As2-MP-mp-2903350.cif,Ba1Fe1.93Co0.07As2,0.0,new,As-Ba-Co-Fe|Ba1Fe1.87Co0.13As2,19,1,18,minority zero (1 zero vs 18 SC)
Ca10Pt3.33Fe9.67As18-MP-mp-1227730.cif,Ca10Pt3.33Fe9.67As18,0.0,new,As-Ca-Fe-Pt|Ca10Pt3.72Fe9.28As18,10,2,8,minority zero (2 zero vs 8 SC)
Ca10Pt3.18Fe9.82As18-MP-mp-1227730.cif,Ca10Pt3.18Fe9.82As18,0.0,new,As-Ca-Fe-Pt|Ca10Pt3.72Fe9.28As18,10,2,8,minority zero (2 zero vs 8 SC)
As1Ce1F0.05Fe1O0.95-MP-mp-605060-synth_doped.cif,As1Ce1F0.05Fe1O0.95,11.8,V45,As-Ce-F-Fe-O|As1Ce1F0.05Fe1O0.95,3,2,1,minority sc (2 zero vs 1 SC)
La1Fe0.99975Mn0.00025As1F0.11O0.89-MP-mp-1281007.cif,La1Fe0.99975Mn0.00025As1F0.11O0.89,19.075,new,As-F-Fe-La-Mn-O|La1Fe0.99975Mn0.00025As1F0.11O0.89,3,2,1,minority sc (2 zero vs 1 SC)
La1Fe1As1F0.04O0.96-MP-mp-1281007.cif,La1Fe1As1F0.04O0.96,0.0,new,As-F-Fe-La-O|La1Fe1As1F0.07O0.93,6,1,5,minority zero (1 zero vs 5 SC)
B0.015C0.985Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,B0.015C0.985Cu1Sr2O5,0.0,V45,B-C-Cu-O-Sr|B0.09C0.91Cu1Sr2O5,9,3,6,minority zero (3 zero vs 6 SC)
B0.027C0.973Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,B0.027C0.973Cu1Sr2O5,0.0,V45,B-C-Cu-O-Sr|B0.09C0.91Cu1Sr2O5,9,3,6,minority zero (3 zero vs 6 SC)
Sr2Cu1C0.983B0.018O5-MP-mp-686590.cif,Sr2Cu1C0.983B0.018O5,0.0,new,B-C-Cu-O-Sr|B0.09C0.91Cu1Sr2O5,9,3,6,minority zero (3 zero vs 6 SC)
B2C1La0.09Lu0.91Ni2-MP-mp-6544-synth_doped.cif,B2C1La0.09Lu0.91Ni2,0.0,V45,B-C-La-Lu-Ni|B2C1La0.05Lu0.95Ni2,5,1,4,minority zero (1 zero vs 4 SC)
Ba0.6K0.4Bi0.918Pr0.082O3-MP-mp-1516766.cif,Ba0.6K0.4Bi0.918Pr0.082O3,0.0,new,Ba-Bi-K-O-Pr|Ba0.6K0.4Bi0.933Pr0.067O3,3,1,2,minority zero (1 zero vs 2 SC)
Ca0.4Ba1.25La1.35Cu3O6.99-MP-mp-1228470.cif,Ca0.4Ba1.25La1.35Cu3O6.99,0.0,new,Ba-Ca-Cu-La-O|Ca0.4Ba1.25La1.35Cu3O7.19,5,1,4,minority zero (1 zero vs 4 SC)
Ca0.4La1.25Ba1.35Cu3O6.875-MP-mp-1228470.cif,Ca0.4La1.25Ba1.35Cu3O6.875,0.0,new,Ba-Ca-Cu-La-O|Ca0.4Ba1.35La1.25Cu3O7.15,9,1,8,minority zero (1 zero vs 8 SC)
La1Ba1.5Ca0.5Cu3O6.86-MP-mp-1228470.cif,La1Ba1.5Ca0.5Cu3O6.86,38.0,new,Ba-Ca-Cu-La-O|La1Ba1.5Ca0.5Cu3O6.79,5,3,2,minority sc (3 zero vs 2 SC)
La1Ba1.5Ca0.5Cu3O6.79-MP-mp-1228470.cif,La1Ba1.5Ca0.5Cu3O6.79,40.0,new,Ba-Ca-Cu-La-O|La1Ba1.5Ca0.5Cu3O6.79,5,3,2,minority sc (3 zero vs 2 SC)
La1Ba1.5Ca0.5Cu3O7.08-MP-mp-558557.cif,La1Ba1.5Ca0.5Cu3O7.08,38.0,new,Ba-Ca-Cu-La-O|La1Ba1.5Ca0.5Cu3O6.96,9,5,4,minority sc (5 zero vs 4 SC)
La1Ba1.5Ca0.5Cu3O7.011-MP-mp-558557.cif,La1Ba1.5Ca0.5Cu3O7.011,78.0,new,Ba-Ca-Cu-La-O|La1Ba1.5Ca0.5Cu3O6.96,9,5,4,minority sc (5 zero vs 4 SC)
La1Ba1.5Ca0.5Cu3O6.96-MP-mp-1228470.cif,La1Ba1.5Ca0.5Cu3O6.96,79.9,new,Ba-Ca-Cu-La-O|La1Ba1.5Ca0.5Cu3O6.96,9,5,4,minority sc (5 zero vs 4 SC)
La1Ba1.5Ca0.5Cu3O7.112-MP-mp-558557.cif,La1Ba1.5Ca0.5Cu3O7.112,72.0,new,Ba-Ca-Cu-La-O|La1Ba1.5Ca0.5Cu3O6.96,9,5,4,minority sc (5 zero vs 4 SC)
Y0.8Ca0.2Ba2Cu3O6.12-MP-mp-20897.cif,Y0.8Ca0.2Ba2Cu3O6.12,0.0,new,Ba-Ca-Cu-O-Y|Y0.8Ca0.2Ba2Cu3O6.1,5,2,3,minority zero (2 zero vs 3 SC)
Y0.82Ca0.18Ba2Cu3O6.008-MP-mp-20897.cif,Y0.82Ca0.18Ba2Cu3O6.008,0.0,new,Ba-Ca-Cu-O-Y|Y0.8Ca0.2Ba2Cu3O6.1,5,2,3,minority zero (2 zero vs 3 SC)
Y0.9Ca0.1Ba2Cu3O6.03-MP-mp-1229067.cif,Y0.9Ca0.1Ba2Cu3O6.03,19.8,new,Ba-Ca-Cu-O-Y|Y0.9Ca0.1Ba2Cu3O6.03,3,2,1,minority sc (2 zero vs 1 SC)
Y1Ba2Cu2.6Co0.4O7.03-MP-icsd-63321.cif,Y1Ba2Cu2.6Co0.4O7.03,11.3,new,Ba-Co-Cu-O-Y|Y1Ba2Cu2.6Co0.4O7.03,5,4,1,minority sc (4 zero vs 1 SC)
Y1Ba2Cu2.955Co0.045O7-MP-mp-20674.cif,Y1Ba2Cu2.955Co0.045O7,0.0,new,Ba-Co-Cu-O-Y|Y1Ba2Cu2.95Co0.05O6.92,9,1,8,minority zero (1 zero vs 8 SC)
