formula_sc,tc,origin_sc,formula_zero,origin_zero,model_pred
Cr0.95Cu1Fe0.05O2,117.5,V45,Cu(Cr0.94Fe0.06)O2,new,0.4
Tl1Sr2Ca0.2Y0.8Cu2O6.97,93.0,new,Ca0.2Cu2Sr2Tl1Y0.8O7,V45,31.7
Y1Ba2Cu2.94Zr0.06O6.81,92.3,new,Y1Ba2Cu2.94Zr0.06O6.82,new,65.4
Nd1Ba2Cu3O6.09,90.5,new,Nd1Ba2Cu3O6.13,new,
Y1Ba1.65Sr0.35Cu4O8,80.8,new,Y1Ba1.68Sr0.32Cu4O8,new,
Sm1Ba1Sr1Cu3O6.94,80.0,new,SmBaSrCu3O7,new,
Y0.8Pr0.2Ba1Sr1Cu3O6.9,79.4,new,Y0.8Pr0.2Ba1Sr1Cu3O6.95,new,
La2.1Y0.7Ca1.4Ba2.8Cu7O16.433,79.0,new,La1.5Y0.5Ba2Ca1Cu5O11.86,new,
Er1Ba1Sr1Cu3O6.94,78.0,new,ErBaSrCu3O7,new,
Pb0.5Sr2Y0.6Ca0.4Cu2.5O6.97,67.0,new,Pb0.5Sr2Y0.6Ca0.4Cu2.5O6.99,new,30.8
Y1Ba2Cu3.8Fe0.2O8,64.0,new,Y1Ba2Cu3.76Fe0.24O8,new,
Nd1Ba2Cu3O6.23,60.5,new,Nd1Ba2Cu3O6.3,new,
Tl1.2Sr2Ca0.8Cu2O6.862,60.0,new,Tl1.2Sr2Ca0.8Cu2O6.934,new,
Y0.6Pr0.4Ba1Sr1Cu3O6.89,56.75,new,Y0.6Pr0.4Ba1Sr1Cu3O6.95,new,
Y1Ba2Cu3F1.46O6,55.0,new,Y1Ba2Cu3F1.5O6,new,
Y1Ba2Cu2.8Co0.2O6.83,53.0,new,Y1Ba2Cu2.8Co0.2O6.9,new,
Y1Ba2Cu2.72Ni0.28O7,51.0,new,Y1Ba2Cu2.7Ni0.3O7,new,
Ca0.891La0.109Fe2As2,45.4,new,Ca0.895La0.105Fe2As2,new,
Ru1Sr2Gd1.4Ce0.6Cu2O10,45.0,new,RuSr2Gd1.4Ce0.6Cu2O10,new,
La1.9Sr0.1Ca1Cu2O6.03,43.0,new,La1.9Sr0.1Ca1Cu2O6.02,new,14.2
Cu1La2O4.32,37.5,V45,Cu1La2O4.33,V45,
Tb1Sr2Cu2.7Mo0.3O7.15,37.0,new,Tb1Sr2Cu2.7Mo0.3O7.12,new,
Y0.5Pr0.5Ba1Sr1Cu3O6.9,36.0,new,Y0.5Pr0.5Ba1Sr1Cu3O6.95,new,
Tb1Sr2Cu2.69Mo0.31O7,34.5,new,TbSr2Cu2.69Mo0.31O6.97,new,
Y1Ba2Cu2.64Fe0.36O7.12,32.0,new,YBa2(Cu0.87Fe0.13)3O7.14,new,
Y1Ba2Cu3.84Zn0.16O8,31.5,new,Y1Ba2Cu3.85Zn0.15O8,new,
Y1Ba2Cu2.6Fe0.4O7,31.0,new,Y1Ba2Cu2.6Fe0.4O7.024,new,
Sr0.9La0.1Cu0.99Ni0.01O2,30.0,new,Sr0.9La0.1Cu0.98Ni0.02O2,new,
La1.82Sr0.18Cu0.97Fe0.03O4,29.0,new,La1.815Sr0.185Cu0.965Fe0.035O4,new,
Ca0.35Cu2Ga1Sr2Y0.65O7,27.0,V45,Y0.65Ca0.35Sr2Cu2Ga1O6.94,new,
La1.425Nd0.4Sr0.175Cu1O4,25.0,new,La1.44Nd0.4Sr0.16Cu1O4,new,
Ce0.04Cu1Pr1.96O4,23.6,V45,Ce0.05Cu1Pr1.95O4,V45,
Y1Ba2Cu3.7Zn0.3O8,22.5,new,Y1Ba2Cu3.72Zn0.28O8,new,
Y0.35Pr0.65Ba1Sr1Cu3O6.9,20.3,new,Y0.35Pr0.65Ba1Sr1Cu3O6.95,new,
La1.8Pr0.2Cu1O4.0631,20.2,new,La1.8Pr0.2Cu1O4.11,new,
Cu1La1.89Na0.11O4,16.0,V45,Cu1La1.9Na0.1O4,V45,26.7
La1.7Nd0.15Ca0.056Ba0.094Cu1O4,16.0,new,La1.7Nd0.15Ca0.056Ba0.094Cu1O4.02,new,
Ca1Fe1.94Co0.06As2,15.5,new,Ca1Fe1.936Co0.064As2,new,
Y0.3Pr0.7Ba1Sr1Cu3O6.95,14.0,new,Y0.3Pr0.7Ba1Sr1Cu3O6.9,new,
Ce0.064Cu1La1.936O4,13.8,V45,Ce0.06Cu1La1.94O4,V45,5.8
Gd0.91La0.89Sr0.2Cu1O4,13.5,new,Sr0.2La0.9Gd0.9Cu1O4,new,
Ce0.02Cu2Gd0.98Ru1Sr2O8,13.0,V45,Ce0.05Cu2Gd0.95Ru1Sr2O8,V45,
Nd0.74Gd1.11Ce0.15Cu1O4,12.0,new,Gd1.1Nd0.75Ce0.15Cu1O4,new,
