id,formula,tc,origin,cluster,action
Ca1Fe1.94Co0.06As2-MP-mp-1068300.cif,Ca1Fe1.94Co0.06As2,15.5,new,As-Ca-Co-Fe|Ca1Fe1.94Co0.06As2,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Ca1Fe1.936Co0.064As2-MP-mp-1068300.cif,Ca1Fe1.936Co0.064As2,0.0,new,As-Ca-Co-Fe|Ca1Fe1.94Co0.06As2,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Ca0.891La0.109Fe2As2-MP-mp-1068300.cif,Ca0.891La0.109Fe2As2,45.4,new,As-Ca-Fe-La|Ca0.891La0.109Fe2As2,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Ca0.895La0.105Fe2As2-MP-mp-1068300.cif,Ca0.895La0.105Fe2As2,0.0,new,As-Ca-Fe-La|Ca0.891La0.109Fe2As2,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
La1.7Nd0.15Ca0.056Ba0.094Cu1O4.02-MP-mp-757399.cif,La1.7Nd0.15Ca0.056Ba0.094Cu1O4.02,0.0,new,Ba-Ca-Cu-La-Nd-O|La1.7Nd0.15Ca0.056Ba0.094Cu1O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
La1.7Nd0.15Ca0.056Ba0.094Cu1O4-MP-mp-1077929.cif,La1.7Nd0.15Ca0.056Ba0.094Cu1O4,16.0,new,Ba-Ca-Cu-La-Nd-O|La1.7Nd0.15Ca0.056Ba0.094Cu1O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
La1.5Y0.5Ba2Ca1Cu5O11.86-MP-icsd-63321.cif,La1.5Y0.5Ba2Ca1Cu5O11.86,0.0,new,Ba-Ca-Cu-La-O-Y|La2.1Y0.7Ca1.4Ba2.8Cu7O16.433,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
La2.1Y0.7Ca1.4Ba2.8Cu7O16.433-MP-icsd-63321.cif,La2.1Y0.7Ca1.4Ba2.8Cu7O16.433,79.0,new,Ba-Ca-Cu-La-O-Y|La2.1Y0.7Ca1.4Ba2.8Cu7O16.433,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y1Ba2Cu2.8Co0.2O6.83-MP-mp-20674.cif,Y1Ba2Cu2.8Co0.2O6.83,53.0,new,Ba-Co-Cu-O-Y|Y1Ba2Cu2.8Co0.2O6.83,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y1Ba2Cu2.8Co0.2O6.9-MP-mp-1228425.cif,Y1Ba2Cu2.8Co0.2O6.9,0.0,new,Ba-Co-Cu-O-Y|Y1Ba2Cu2.8Co0.2O6.83,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Er1Ba1Sr1Cu3O6.94-MP-mp-1227765.cif,Er1Ba1Sr1Cu3O6.94,78.0,new,Ba-Cu-Er-O-Sr|Er1Ba1Sr1Cu3O6.94,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
ErBaSrCu3O7-MP-icsd-63405.cif,ErBaSrCu3O7,0.0,new,Ba-Cu-Er-O-Sr|Er1Ba1Sr1Cu3O6.94,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y1Ba2Cu3F1.46O6-MP-icsd-63321.cif,Y1Ba2Cu3F1.46O6,55.0,new,Ba-Cu-F-O-Y|Y1Ba2Cu3F1.46O6,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y1Ba2Cu3F1.5O6-MP-icsd-63321.cif,Y1Ba2Cu3F1.5O6,0.0,new,Ba-Cu-F-O-Y|Y1Ba2Cu3F1.46O6,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
