cluster,id,formula,tc,origin,side,n,n_zero,n_pos,tc_max
As-Ce-F-Fe-O|As1Ce1F0.05Fe1O0.95,As1Ce1F0.04Fe1O0.96-MP-mp-605060-synth_doped.cif,As1Ce1F0.04Fe1O0.96,0.0,V45,zero,3,2,1,11.8
As-Ce-F-Fe-O|As1Ce1F0.05Fe1O0.95,As1Ce1F0.05Fe1O0.95-MP-mp-605060-synth_doped.cif,As1Ce1F0.05Fe1O0.95,11.8,V45,high,3,2,1,11.8
As-Ce-F-Fe-O|As1Ce1F0.05Fe1O0.95,As1Ce1F0.06Fe1O0.94-MP-mp-605060-synth_doped.cif,As1Ce1F0.06Fe1O0.94,0.0,V45,zero,3,2,1,11.8
As-Co-Fe-Na|As1Co0.03Fe0.97Na1,As1Co0.005Fe0.995Na1-MP-mp-22152-synth_doped.cif,As1Co0.005Fe0.995Na1,9.81,V45,low,10,0,10,21.13333333
As-Co-Fe-Na|As1Co0.03Fe0.97Na1,As1Co0.019Fe0.981Na1-MP-mp-22152-synth_doped.cif,As1Co0.019Fe0.981Na1,19.3,V45,high,10,0,10,21.13333333
As-Co-Fe-Na|As1Co0.03Fe0.97Na1,As1Co0.021Fe0.979Na1-MP-mp-22152-synth_doped.cif,As1Co0.021Fe0.979Na1,19.4,V45,high,10,0,10,21.13333333
As-Co-Fe-Na|As1Co0.03Fe0.97Na1,As1Co0.023Fe0.977Na1-MP-mp-22152-synth_doped.cif,As1Co0.023Fe0.977Na1,15.7,V45,high,10,0,10,21.13333333
As-Co-Fe-Na|As1Co0.03Fe0.97Na1,As1Co0.025Fe0.975Na1-MP-mp-22152-synth_doped.cif,As1Co0.025Fe0.975Na1,21.05,V45,high,10,0,10,21.13333333
As-Co-Fe-Na|As1Co0.03Fe0.97Na1,As1Co0.028Fe0.972Na1-MP-mp-22152-synth_doped.cif,As1Co0.028Fe0.972Na1,20.1,V45,high,10,0,10,21.13333333
As-Co-Fe-Na|As1Co0.03Fe0.97Na1,As1Co0.02Fe0.98Na1-MP-mp-22152-synth_doped.cif,As1Co0.02Fe0.98Na1,18.8,V45,high,10,0,10,21.13333333
As-Co-Fe-Na|As1Co0.03Fe0.97Na1,As1Co0.03Fe0.97Na1-MP-mp-22152-synth_doped.cif,As1Co0.03Fe0.97Na1,21.13333333,V45,high,10,0,10,21.13333333
As-Co-Fe-Na|As1Co0.03Fe0.97Na1,Na1Fe0.9875Co0.0125As1-MP-mp-22152.cif,Na1Fe0.9875Co0.0125As1,13.9,new,high,10,0,10,21.13333333
As-Co-Fe-Na|As1Co0.03Fe0.97Na1,Na1Fe0.9825Co0.0175As1-MP-mp-22152.cif,Na1Fe0.9825Co0.0175As1,15.8,new,high,10,0,10,21.13333333
As-F-Fe-O-Sm|As1F0.09Fe1Sm1O0.91,As1F0.06Fe1Sm1O0.94-MP-mp-20349-synth_doped.cif,As1F0.06Fe1Sm1O0.94,36.4,V45,high,5,0,5,42.0
As-F-Fe-O-Sm|As1F0.09Fe1Sm1O0.91,As1F0.075Fe1Sm1O0.925-MP-mp-20349-synth_doped.cif,As1F0.075Fe1Sm1O0.925,33.0,V45,high,5,0,5,42.0
As-F-Fe-O-Sm|As1F0.09Fe1Sm1O0.91,As1F0.07Fe1Sm1O0.93-MP-mp-20349-synth_doped.cif,As1F0.07Fe1Sm1O0.93,33.0,V45,high,5,0,5,42.0
As-F-Fe-O-Sm|As1F0.09Fe1Sm1O0.91,As1F0.085Fe1Sm1O0.915-MP-mp-20349-synth_doped.cif,As1F0.085Fe1Sm1O0.915,14.0,V45,low,5,0,5,42.0
As-F-Fe-O-Sm|As1F0.09Fe1Sm1O0.91,As1F0.09Fe1Sm1O0.91-MP-mp-20349-synth_doped.cif,As1F0.09Fe1Sm1O0.91,42.0,V45,high,5,0,5,42.0
As-Ba-Fe-K|As2Ba0.78Fe2K0.22,As2Ba0.833Fe2K0.167-MP-mp-1223567-synth_doped.cif,As2Ba0.833Fe2K0.167,7.0,V45,low,14,0,14,23.5
As-Ba-Fe-K|As2Ba0.78Fe2K0.22,As2Ba0.83Fe2K0.17-MP-mp-1223567-synth_doped.cif,As2Ba0.83Fe2K0.17,8.0,V45,low,14,0,14,23.5
As-Ba-Fe-K|As2Ba0.78Fe2K0.22,As2Ba0.84Fe2K0.16-MP-mp-1223567-synth_doped.cif,As2Ba0.84Fe2K0.16,6.42,V45,low,14,0,14,23.5
As-Ba-Fe-K|As2Ba0.78Fe2K0.22,As2Ba0.788Fe2K0.212-MP-mp-1223517-synth_doped.cif,As2Ba0.788Fe2K0.212,19.0,V45,high,14,0,14,23.5
As-Ba-Fe-K|As2Ba0.78Fe2K0.22,As2Ba0.78Fe2K0.22-MP-mp-1223517-synth_doped.cif,As2Ba0.78Fe2K0.22,23.5,V45,high,14,0,14,23.5
As-Ba-Fe-K|As2Ba0.78Fe2K0.22,As2Ba0.797Fe2K0.203-MP-mp-1223517-synth_doped.cif,As2Ba0.797Fe2K0.203,17.0,V45,high,14,0,14,23.5
As-Ba-Fe-K|As2Ba0.78Fe2K0.22,As2Ba0.79Fe2K0.21-MP-mp-1223517-synth_doped.cif,As2Ba0.79Fe2K0.21,18.0,V45,high,14,0,14,23.5
As-Ba-Fe-K|As2Ba0.78Fe2K0.22,As2Ba0.805Fe2K0.195-MP-mp-1223567-synth_doped.cif,As2Ba0.805Fe2K0.195,15.0,V45,high,14,0,14,23.5
As-Ba-Fe-K|As2Ba0.78Fe2K0.22,As2Ba0.812Fe2K0.188-MP-mp-1223567-synth_doped.cif,As2Ba0.812Fe2K0.188,13.0,V45,high,14,0,14,23.5
As-Ba-Fe-K|As2Ba0.78Fe2K0.22,As2Ba0.816Fe2K0.184-MP-mp-1223567-synth_doped.cif,As2Ba0.816Fe2K0.184,12.0,V45,high,14,0,14,23.5
As-Ba-Fe-K|As2Ba0.78Fe2K0.22,As2Ba0.81Fe2K0.19-MP-mp-1223567-synth_doped.cif,As2Ba0.81Fe2K0.19,12.73333333,V45,high,14,0,14,23.5
As-Ba-Fe-K|As2Ba0.78Fe2K0.22,As2Ba0.823Fe2K0.177-MP-mp-1223567-synth_doped.cif,As2Ba0.823Fe2K0.177,10.0,V45,low,14,0,14,23.5
As-Ba-Fe-K|As2Ba0.78Fe2K0.22,As2Ba0.825Fe2K0.175-MP-mp-1223567-synth_doped.cif,As2Ba0.825Fe2K0.175,10.0,V45,low,14,0,14,23.5
As-Ba-Fe-K|As2Ba0.78Fe2K0.22,As2Ba0.82Fe2K0.18-MP-mp-1223567-synth_doped.cif,As2Ba0.82Fe2K0.18,10.5,V45,low,14,0,14,23.5
As-Ba-Fe-Ru|As2Ba1Fe1.25Ru0.75,As2Ba1Fe1.24Ru0.76-MP-mp-1227957-synth_doped.cif,As2Ba1Fe1.24Ru0.76,7.1,V45,low,2,0,2,21.0
As-Ba-Fe-Ru|As2Ba1Fe1.25Ru0.75,As2Ba1Fe1.25Ru0.75-MP-mp-1227957-synth_doped.cif,As2Ba1Fe1.25Ru0.75,21.0,V45,high,2,0,2,21.0
B-C-Cu-O-Sr|B0.09C0.91Cu1Sr2O5,B0.015C0.985Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,B0.015C0.985Cu1Sr2O5,0.0,V45,zero,9,3,6,26.5
B-C-Cu-O-Sr|B0.09C0.91Cu1Sr2O5,B0.027C0.973Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,B0.027C0.973Cu1Sr2O5,0.0,V45,zero,9,3,6,26.5
B-C-Cu-O-Sr|B0.09C0.91Cu1Sr2O5,B0.04C0.96Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,B0.04C0.96Cu1Sr2O5,7.0,V45,low,9,3,6,26.5
B-C-Cu-O-Sr|B0.09C0.91Cu1Sr2O5,B0.05C0.95Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,B0.05C0.95Cu1Sr2O5,12.5,V45,low,9,3,6,26.5
B-C-Cu-O-Sr|B0.09C0.91Cu1Sr2O5,B0.06C0.94Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,B0.06C0.94Cu1Sr2O5,21.0,V45,high,9,3,6,26.5
B-C-Cu-O-Sr|B0.09C0.91Cu1Sr2O5,B0.07C0.93Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,B0.07C0.93Cu1Sr2O5,23.0,V45,high,9,3,6,26.5
B-C-Cu-O-Sr|B0.09C0.91Cu1Sr2O5,B0.08C0.92Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,B0.08C0.92Cu1Sr2O5,25.0,V45,high,9,3,6,26.5
B-C-Cu-O-Sr|B0.09C0.91Cu1Sr2O5,B0.09C0.91Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,B0.09C0.91Cu1Sr2O5,26.5,V45,high,9,3,6,26.5
B-C-Cu-O-Sr|B0.09C0.91Cu1Sr2O5,Sr2Cu1C0.983B0.018O5-MP-mp-686590.cif,Sr2Cu1C0.983B0.018O5,0.0,new,zero,9,3,6,26.5
B-Mg|B2Mg0.98,B0.67Mg0.33-MP-mp-763-synth_doped.cif,B0.67Mg0.33,6.1,V45,low,2,0,2,38.4
B-Mg|B2Mg0.98,B2Mg0.98-MP-mp-763-synth_doped.cif,B2Mg0.98,38.4,V45,high,2,0,2,38.4
B-Mg|B2Mg0.9,B0.69Mg0.31-MP-mp-763-synth_doped.cif,B0.69Mg0.31,5.7,V45,low,2,0,2,38.2
B-Mg|B2Mg0.9,B2Mg0.9-MP-mp-763-synth_doped.cif,B2Mg0.9,38.2,V45,high,2,0,2,38.2
B-C-La-Lu-Ni|B2C1La0.05Lu0.95Ni2,B2C1La0.05Lu0.95Ni2-MP-mp-6544-synth_doped.cif,B2C1La0.05Lu0.95Ni2,15.3,V45,high,5,1,4,15.3
B-C-La-Lu-Ni|B2C1La0.05Lu0.95Ni2,B2C1La0.06Lu0.94Ni2-MP-mp-6544-synth_doped.cif,B2C1La0.06Lu0.94Ni2,15.1,V45,high,5,1,4,15.3
B-C-La-Lu-Ni|B2C1La0.05Lu0.95Ni2,B2C1La0.07Lu0.93Ni2-MP-mp-6544-synth_doped.cif,B2C1La0.07Lu0.93Ni2,13.6,V45,high,5,1,4,15.3
B-C-La-Lu-Ni|B2C1La0.05Lu0.95Ni2,B2C1La0.08Lu0.92Ni2-MP-mp-6544-synth_doped.cif,B2C1La0.08Lu0.92Ni2,13.6,V45,high,5,1,4,15.3
B-C-La-Lu-Ni|B2C1La0.05Lu0.95Ni2,B2C1La0.09Lu0.91Ni2-MP-mp-6544-synth_doped.cif,B2C1La0.09Lu0.91Ni2,0.0,V45,zero,5,1,4,15.3
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.004Cu1La1.996O4-MP-mp-1077929-synth_doped.cif,Ba0.004Cu1La1.996O4,0.0,V45,zero,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.014Cu1La1.986O4-MP-mp-1077929-synth_doped.cif,Ba0.014Cu1La1.986O4,0.0,V45,zero,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.016Cu1La1.984O4-MP-mp-1077929-synth_doped.cif,Ba0.016Cu1La1.984O4,0.0,V45,zero,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.01Cu1La1.99O4-MP-mp-1077929-synth_doped.cif,Ba0.01Cu1La1.99O4,0.0,V45,zero,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.024Cu1La1.976O4-MP-mp-1077929-synth_doped.cif,Ba0.024Cu1La1.976O4,0.0,V45,zero,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.02Cu1La1.98O4-MP-mp-1077929-synth_doped.cif,Ba0.02Cu1La1.98O4,0.0,V45,zero,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.035Cu1La1.965O4-MP-mp-1077929-synth_doped.cif,Ba0.035Cu1La1.965O4,0.0,V45,zero,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.03Cu1La1.97O4-MP-mp-1077929-synth_doped.cif,Ba0.03Cu1La1.97O4,0.0,V45,zero,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.045Cu1La1.955O4-MP-mp-1077929-synth_doped.cif,Ba0.045Cu1La1.955O4,0.0,V45,zero,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.054Cu1La1.946O4-MP-mp-1077929-synth_doped.cif,Ba0.054Cu1La1.946O4,0.0,V45,zero,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.066Cu1La1.934O4-MP-mp-1077929-synth_doped.cif,Ba0.066Cu1La1.934O4,22.6,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.074Cu1La1.926O4-MP-mp-1077929-synth_doped.cif,Ba0.074Cu1La1.926O4,0.0,V45,zero,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.075Cu1La1.925O4-MP-mp-1077929-synth_doped.cif,Ba0.075Cu1La1.925O4,24.0,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.078Cu1La1.922O4-MP-mp-1077929-synth_doped.cif,Ba0.078Cu1La1.922O4,24.95,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.094Cu1La1.906O4-MP-mp-1077929-synth_doped.cif,Ba0.094Cu1La1.906O4,32.0,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.095Cu1La1.905O4-MP-mp-1077929-synth_doped.cif,Ba0.095Cu1La1.905O4,29.0,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.097Cu1La1.903O4-MP-mp-1077929-synth_doped.cif,Ba0.097Cu1La1.903O4,26.0,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.099Cu1La1.901O4-MP-mp-1077929-synth_doped.cif,Ba0.099Cu1La1.901O4,12.3,V45,low,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.102Cu1La1.898O4-MP-mp-1077929-synth_doped.cif,Ba0.102Cu1La1.898O4,29.0,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.103Cu1La1.897O4-MP-mp-1077929-synth_doped.cif,Ba0.103Cu1La1.897O4,14.5,V45,low,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.105Cu1La1.895O4-MP-mp-1077929-synth_doped.cif,Ba0.105Cu1La1.895O4,33.1,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.115Cu1La1.885O4-MP-mp-1077929-synth_doped.cif,Ba0.115Cu1La1.885O4,13.9,V45,low,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.116Cu1La1.884O4-MP-mp-1077929-synth_doped.cif,Ba0.116Cu1La1.884O4,21.8,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.118Cu1La1.882O4-MP-mp-1077929-synth_doped.cif,Ba0.118Cu1La1.882O4,9.0,V45,low,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.119Cu1La1.881O4-MP-mp-1077929-synth_doped.cif,Ba0.119Cu1La1.881O4,9.3,V45,low,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.123Cu1La1.877O4-MP-mp-1077929-synth_doped.cif,Ba0.123Cu1La1.877O4,23.6,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.135Cu1La1.865O4-MP-mp-1077929-synth_doped.cif,Ba0.135Cu1La1.865O4,2.99,V45,low,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.13Cu1La1.87O4-MP-mp-1077929-synth_doped.cif,Ba0.13Cu1La1.87O4,4.96,V45,low,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.142Cu1La1.858O4-MP-mp-1077929-synth_doped.cif,Ba0.142Cu1La1.858O4,29.0,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.155Cu1La1.845O4-MP-mp-1077929-synth_doped.cif,Ba0.155Cu1La1.845O4,26.0,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.157Cu1La1.843O4-MP-mp-1077929-synth_doped.cif,Ba0.157Cu1La1.843O4,25.3,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.158Cu1La1.842O4-MP-mp-1077929-synth_doped.cif,Ba0.158Cu1La1.842O4,0.0,V45,zero,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.15Cu1La1.85O4-MP-mp-1077929-synth_doped.cif,Ba0.15Cu1La1.85O4,28.0,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.174Cu1La1.826O4-MP-mp-1077929-synth_doped.cif,Ba0.174Cu1La1.826O4,0.0,V45,zero,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.175Cu1La1.825O4-MP-mp-1077929-synth_doped.cif,Ba0.175Cu1La1.825O4,26.2,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.177Cu1La1.823O4-MP-mp-1077929-synth_doped.cif,Ba0.177Cu1La1.823O4,25.5,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.17Cu1La1.83O4-MP-mp-1077929-synth_doped.cif,Ba0.17Cu1La1.83O4,26.9,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.18Cu1La1.82O4-MP-mp-1077929-synth_doped.cif,Ba0.18Cu1La1.82O4,23.1,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.199Cu1La1.801O4-MP-mp-1077929-synth_doped.cif,Ba0.199Cu1La1.801O4,23.5,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,Ba0.218Cu1La1.782O4-MP-mp-1077929-synth_doped.cif,Ba0.218Cu1La1.782O4,21.6,V45,high,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,La1.95Ba0.05Cu1O3.98-MP-mp-1077929.cif,La1.95Ba0.05Cu1O3.98,0.0,new,zero,42,14,28,33.1
Ba-Cu-La-O|Ba0.105Cu1La1.895O4,La1.94Ba0.04Cu1O4-MP-mp-1077929.cif,La1.94Ba0.04Cu1O4,4.0,new,low,42,14,28,33.1
Ba-Cu-La-O|Ba0.24Cu1La1.76O4,Ba0.249Cu1La1.751O4-MP-mp-1077929-synth_doped.cif,Ba0.249Cu1La1.751O4,13.7,V45,high,3,1,2,14.0
Ba-Cu-La-O|Ba0.24Cu1La1.76O4,Ba0.24Cu1La1.76O4-MP-mp-1077929-synth_doped.cif,Ba0.24Cu1La1.76O4,14.0,V45,high,3,1,2,14.0
Ba-Cu-La-O|Ba0.24Cu1La1.76O4,Ba0.25Cu1La1.75O4-MP-mp-1077929-synth_doped.cif,Ba0.25Cu1La1.75O4,0.0,V45,zero,3,1,2,14.0
Ba-Cu-La-O|La1.2Ba1.8Cu3O7.3,La1.2Ba1.8Cu3O7.3-MP-mp-505315.cif,La1.2Ba1.8Cu3O7.3,27.0,new,high,5,4,1,27.0
Ba-Cu-La-O|La1.2Ba1.8Cu3O7.3,La1.2Ba1.8Cu3O7.5-MP-mp-505315.cif,La1.2Ba1.8Cu3O7.5,0.0,new,zero,5,4,1,27.0
