id,formula,tc,origin,cls,n_nbr,nbr_median,nbr_min,nbr_max,nearest,nearest_tc,nearest_dist,chemsys
Bi1.6Pb0.35V0.05Sr2Ca2Cu3O10.12-MP-mp-1209015.cif,Bi1.6Pb0.35V0.05Sr2Ca2Cu3O10.12,103.7,new,high-in-zero-cloud,4,0.0,0.0,102.5,Bi1.6Pb0.3Sr2Ca2Cu3V0.1O10.12,102.5,0.005,Bi-Ca-Cu-O-Pb-Sr-V
Ba2Ca0.8Ce0.2Cu2Tl2O8-MP-mp-6885-synth_doped.cif,Ba2Ca0.8Ce0.2Cu2Tl2O8,103.0,V45,high-in-zero-cloud,3,0.0,0.0,100.0,Ba2Ca0.9Ce0.1Cu2Tl2O8,100.0,0.013,Ba-Ca-Ce-Cu-O-Tl
Bi1.6Pb0.3Sr2Ca2Cu3V0.1O10.12-MP-mp-1209015.cif,Bi1.6Pb0.3Sr2Ca2Cu3V0.1O10.12,102.5,new,high-in-zero-cloud,4,0.0,0.0,103.7,Bi1.6Pb0.35V0.05Sr2Ca2Cu3O10.12,103.7,0.005,Bi-Ca-Cu-O-Pb-Sr-V
Cr0.9Cu1Fe0.1O2-MP-mp-510625-synth_doped.cif,Cr0.9Cu1Fe0.1O2,98.0,V45,high-in-zero-cloud,3,0.0,0.0,117.5,Cu(Cr0.94Fe0.06)O2,0.0,0.02,Cr-Cu-Fe-O
Y1Ba2Cu2.94Zr0.06O6.81-MP-mp-20674.cif,Y1Ba2Cu2.94Zr0.06O6.81,92.3,new,high-in-zero-cloud,5,0.0,0.0,90.2,Y1Ba2Cu2.94Zr0.06O6.82,0.0,0.001,Ba-Cu-O-Y-Zr
Y1Ba2Cu2.98Zr0.02O6.84-MP-mp-20674.cif,Y1Ba2Cu2.98Zr0.02O6.84,90.2,new,high-in-zero-cloud,5,0.0,0.0,92.3,Y1Ba2Cu2.94Zr0.06O6.82,0.0,0.007,Ba-Cu-O-Y-Zr
Bi2Ca0.8Cu2Sr2.2O8-MP-mp-1218930-synth_doped.cif,Bi2Ca0.8Cu2Sr2.2O8,89.9,V45,high-in-zero-cloud,8,0.0,0.0,95.3,Bi2Ca0.92Cu2Sr2.08O8,95.3,0.016,Bi-Ca-Cu-O-Sr
Y1Ba2Cu2.98Zr0.2O6.75-MP-mp-1228425.cif,Y1Ba2Cu2.98Zr0.2O6.75,89.8,new,high-in-zero-cloud,5,0.0,0.0,92.3,Y1Ba2Cu2.91Zr0.09O6.73,0.0,0.021,Ba-Cu-O-Y-Zr
Y1Ba2Cu2.6Fe0.4O7.401-MP-icsd-63321.cif,Y1Ba2Cu2.6Fe0.4O7.401,82.0,new,high-in-zero-cloud,11,0.0,0.0,82.0,Fe0.5Ba2Y1Cu2.5O7.41,80.0,0.015,Ba-Cu-Fe-O-Y
Pr1Ba2Cu3O6.8-MP-mp-20936.cif,Pr1Ba2Cu3O6.8,81.0,new,high-in-zero-cloud,9,0.0,0.0,0.0,Pr1Ba2Cu3O6.849,0.0,0.004,Ba-Cu-O-Pr
Fe0.5Ba2Y1Cu2.5O7.41-MP-icsd-63321.cif,Fe0.5Ba2Y1Cu2.5O7.41,80.0,new,high-in-zero-cloud,7,0.0,0.0,82.0,Y1Ba2Cu2.5Fe0.5O7.35,80.0,0.004,Ba-Cu-Fe-O-Y
