id,formula,tc,origin,reason
Al28Ca24O66-MP-mp-532016.cif,Al28Ca24O66,0.195,V45,typo: absurd coefficient
Ba1Cu1Tl0.76O4.5-MP-mvc-11834-synth_doped.cif,Ba1Cu1Tl0.76O4.5,86.0,V45,typo: Cu oxidation 4.72
Ba24Si100-MP-mp-16094.cif,Ba24Si100,1.475,V45,typo: absurd coefficient
Cu0.03Ru0.97Sr2Y1O6-MP-mp-14430-synth_doped.cif,Cu0.03Ru0.97Sr2Y1O6,0.0,V45,typo: Cu oxidation 37.33
Cu0.04Ru0.96Sr2Y1O6-MP-mp-14430-synth_doped.cif,Cu0.04Ru0.96Sr2Y1O6,5.1,V45,typo: Cu oxidation 29.00
Cu0.05Ru0.95Sr2Y1O6-MP-mp-14430-synth_doped.cif,Cu0.05Ru0.95Sr2Y1O6,11.9,V45,typo: Cu oxidation 24.00
Cu0.08Ru0.92Sr2Y1O6-MP-mp-14430-synth_doped.cif,Cu0.08Ru0.92Sr2Y1O6,17.6,V45,typo: Cu oxidation 16.50
Cu0.09Li1Ti1.91O4-MP-mp-5670-synth_doped.cif,Cu0.09Li1Ti1.91O4,14.4,V45,typo: Cu oxidation -7.11
Cu0.1Ho1Ru0.9Sr2O6-MP-mp-6676-synth_doped.cif,Cu0.1Ho1Ru0.9Sr2O6,30.0,V45,typo: Cu oxidation 14.00
Cu0.2Ru0.8Sr2Y1O6-MP-mp-14430-synth_doped.cif,Cu0.2Ru0.8Sr2Y1O6,23.0,V45,typo: Cu oxidation 9.00
Sn0.92Ag0.05Te1-MP-mp-28246.cif,Sn0.92Ag0.05Te1,1.66,new,structure: parent of a different compound class (-2.0 anions/cation)
Sn0.9Ag0.07Te1-MP-mp-28246.cif,Sn0.9Ag0.07Te1,1.73,new,structure: parent of a different compound class (-2.0 anions/cation)
Sn0.87Ag0.1Te1-MP-mp-28246.cif,Sn0.87Ag0.1Te1,1.83,new,structure: parent of a different compound class (-2.0 anions/cation)
Ag7B4F4O8-MP-mp-997101.cif,Ag7B4F4O8,0.15,new,structure: parent of a different compound class (-1.9 anions/cation)
Ag2Pb3S1-MP-mp-1025039.cif,Ag2Pb3S1,1.13,new,structure: parent of a different compound class (-1.8 anions/cation)
Ag2Pd3S1-MP-mp-13682.cif,Ag2Pd3S1,1.13,new,structure: parent of a different compound class (-1.8 anions/cation)
Ag7F4O8B1-MP-mp-997101.cif,Ag7F4O8B1,0.15,new,structure: parent of a different compound class (-1.5 anions/cation)
Ag7F2H1O8-MP-mp-996958.cif,Ag7F2H1O8,1.47,new,structure: parent of a different compound class (-1.4 anions/cation)
Ag7F1O8-MP-mp-997101.cif,Ag7F1O8,0.3,new,structure: parent of a different compound class (-1.7 anions/cation)
Eu2.17Ce0.5Sr1.33Cu2.75Al0.25O8.88-MP-mp-983228.cif,Eu2.17Ce0.5Sr1.33Cu2.75Al0.25O8.88,0.0,new,structure: parent lacks the redox centre
Al0.01Nb0.97O0.02-MP-mp-27927.cif,Al0.01Nb0.97O0.02,8.3,new,structure: parent of a different compound class (-2.0 anions/cation)
Eu2.17Ce0.5Sr1.33Cu2.5Al0.5O9.02-MP-mp-983228.cif,Eu2.17Ce0.5Sr1.33Cu2.5Al0.5O9.02,16.4,new,structure: parent lacks the redox centre
Eu2.17Ce0.5Sr1.33Cu2.25Al0.75O9.04-MP-mp-1218323.cif,Eu2.17Ce0.5Sr1.33Cu2.25Al0.75O9.04,0.0,new,structure: parent lacks the redox centre
Al0.04Nb0.895O0.06-MP-mp-27927.cif,Al0.04Nb0.895O0.06,7.1,new,structure: parent of a different compound class (-1.9 anions/cation)
Eu2.17Ce0.5Sr1.33Cu2Al1O9.11-MP-mp-1218323.cif,Eu2.17Ce0.5Sr1.33Cu2Al1O9.11,0.0,new,structure: parent lacks the redox centre
Al1Sr2Ho0.65Ca0.35Cu2O7.01-MP-mp-1208627.cif,Al1Sr2Ho0.65Ca0.35Cu2O7.01,0.0,new,structure: parent lacks the redox centre
Al1Sr2Ho0.5Ca0.5Cu2O7.05-MP-mp-1208627.cif,Al1Sr2Ho0.5Ca0.5Cu2O7.05,18.0,new,structure: parent lacks the redox centre
