id,formula,tc,origin,reason
Ba0.074Cu1La1.926O4-MP-mp-1077929-synth_doped.cif,Ba0.074Cu1La1.926O4,0.0,V45,label: Tc=0 report at a composition others put at 25 K
Ba0.174Cu1La1.826O4-MP-mp-1077929-synth_doped.cif,Ba0.174Cu1La1.826O4,0.0,V45,label: Tc=0 report at a composition others put at 26 K
Ba2Cu1Hg1O4.04-MP-mp-6562-synth_doped.cif,Ba2Cu1Hg1O4.04,0.0,V45,label: Tc=0 report at a composition others put at 48 K
Ba2Cu1Tl2O6.164-MP-mp-6027-synth_doped.cif,Ba2Cu1Tl2O6.164,0.0,V45,label: Tc=0 report at a composition others put at 65 K
Bi2Ca1Cu2Sr2O8.217-MP-mp-1218930-synth_doped.cif,Bi2Ca1Cu2Sr2O8.217,0.0,V45,label: Tc=0 report at a composition others put at 91 K
Bi2Ca1Cu2Sr2O8.255-MP-mp-1218930-synth_doped.cif,Bi2Ca1Cu2Sr2O8.255,0.0,V45,label: Tc=0 report at a composition others put at 90 K
Cu1La2O4.003-MP-mp-1077929-synth_doped.cif,Cu1La2O4.003,0.0,V45,label: Tc=0 report at a composition others put at 32 K
Cu1La2O4.011-MP-mp-1077929-synth_doped.cif,Cu1La2O4.011,0.0,V45,label: Tc=0 report at a composition others put at 35 K
Cu1La2O4.015-MP-mp-1077929-synth_doped.cif,Cu1La2O4.015,0.0,V45,label: Tc=0 report at a composition others put at 35 K
Cu1La2O4.02-MP-mp-1077929-synth_doped.cif,Cu1La2O4.02,0.0,V45,label: Tc=0 report at a composition others put at 42 K
Cu1La2O4.052-MP-mp-1077929-synth_doped.cif,Cu1La2O4.052,0.0,V45,label: Tc=0 report at a composition others put at 29 K
Cu1La2O4.056-MP-mp-1077929-synth_doped.cif,Cu1La2O4.056,0.0,V45,label: Tc=0 report at a composition others put at 38 K
Cu1La2O4.1-MP-mp-1077929-synth_doped.cif,Cu1La2O4.1,0.0,V45,label: Tc=0 report at a composition others put at 45 K
Mg0.927Al0.073B1-MP-mp-1094116.cif,Mg0.927Al0.073B1,33.0,new,structure: 50% of cations foreign to parent MgAl2
Fe2As2Ba4Sc3O7.5-MP-mp-1192651.cif,Fe2As2Ba4Sc3O7.5,11.0,new,structure: 45% of cations foreign to parent BaFeO3
Fe2As2Ca4Sc2.01Ti0.99O7.5-MP-mp-1227734.cif,Fe2As2Ca4Sc2.01Ti0.99O7.5,31.0,new,structure: 36% of cations foreign to parent Ca3Ti(FeO4)2
Fe2As2Ba3Sc2O5-MP-mp-1192651.cif,Fe2As2Ba3Sc2O5,0.0,new,structure: 44% of cations foreign to parent BaFeO3
As1Bi1Pb1Sb1-MP-mp-1219457.cif,As1Bi1Pb1Sb1,9.0,new,structure: 50% of cations foreign to parent SbAs
Sc1Co2As2-MP-mp-1188926.cif,Sc1Co2As2,0.0,new,structure: 40% of cations foreign to parent Sc3As2
Eu1Fe0.5As2P1.5-MP-mp-20095.cif,Eu1Fe0.5As2P1.5,0.0,new,structure: 40% of cations foreign to parent Eu(FeP)2
Eu1Fe1.2As2P0.8-MP-mp-20095.cif,Eu1Fe1.2As2P0.8,21.5,new,structure: 40% of cations foreign to parent Eu(FeP)2
Eu1Fe1.4As2P0.6-MP-mp-20095.cif,Eu1Fe1.4As2P0.6,28.7,new,structure: 40% of cations foreign to parent Eu(FeP)2
Eu1Fe1.6As2P0.4-MP-mp-20095.cif,Eu1Fe1.6As2P0.4,23.5,new,structure: 40% of cations foreign to parent Eu(FeP)2
Ru0.77Rh0.23As1-MP-mp-1186926.cif,Ru0.77Rh0.23As1,1.88,new,structure: 50% of cations foreign to parent Ru3Rh
Ru0.58Rh0.42As1-MP-mp-1186926.cif,Ru0.58Rh0.42As1,0.68,new,structure: 50% of cations foreign to parent Ru3Rh
Ti45Nb40Si12B3-MP-mp-1106165.cif,Ti45Nb40Si12B3,5.4,new,structure: 45% of cations foreign to parent Nb5Si3B
Nd2Sr3Cu3B2O12-MP-mp-1173386.cif,Nd2Sr3Cu3B2O12,0.0,new,structure: 50% of cations foreign to parent NdCuO3
Er0.8Tb0.8Ni2B2C1-MP-mp-1025246.cif,Er0.8Tb0.8Ni2B2C1,0.0,new,structure: 42% of cations foreign to parent Er2B4C
Lu1Ni1.83Co0.34B2C1-MP-mp-10566.cif,Lu1Ni1.83Co0.34B2C1,3.8,new,structure: 35% of cations foreign to parent Lu3BC3
Er0.8Tb0.35Ni2B2C1-MP-mp-1025246.cif,Er0.8Tb0.35Ni2B2C1,0.0,new,structure: 38% of cations foreign to parent Er2B4C
Lu1Ir3.6Rh0.4B4-MP-mp-28001.cif,Lu1Ir3.6Rh0.4B4,2.67,new,structure: 40% of cations foreign to parent Lu(BRh)4
Y1CaSr1.5Ba0.5Cu2.8Cr0.2O7-MP-mp-1042475.cif,Y1CaSr1.5Ba0.5Cu2.8Cr0.2O7,0.0,new,structure: 36% of cations foreign to parent BaYCrCuO5
Ba1.2Sr0.8Yb1Cu3O6.61-MP-mp-21129.cif,Ba1.2Sr0.8Yb1Cu3O6.61,36.7,new,structure: 37% of cations foreign to parent Sr2Cu2O5
Ba1.6Sr0.4Yb1Cu3O6.64-MP-mp-21129.cif,Ba1.6Sr0.4Yb1Cu3O6.64,47.0,new,structure: 43% of cations foreign to parent Sr2Cu2O5
Ba1.6Sr0.4Yb1Cu3O6.48-MP-mp-21129.cif,Ba1.6Sr0.4Yb1Cu3O6.48,10.0,new,structure: 43% of cations foreign to parent Sr2Cu2O5
Ba1.6Sr0.4Yb1Cu3O6.26-MP-mp-21129.cif,Ba1.6Sr0.4Yb1Cu3O6.26,0.0,new,structure: 43% of cations foreign to parent Sr2Cu2O5
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6-MP-mp-1218417.cif,Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6,0.0,new,structure: 42% of cations foreign to parent SrCa(CuO2)2
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6-MP-mp-1218445.cif,Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6,22.0,new,structure: 39% of cations foreign to parent Sr3Ca(CuO2)4
Ba1.6Sr0.4Yb0.7Ca0.3Cu3O6-MP-mp-1218445.cif,Ba1.6Sr0.4Yb0.7Ca0.3Cu3O6,41.0,new,structure: 38% of cations foreign to parent Sr3Ca(CuO2)4
La0.25Pr0.75Ba2Cu2Nd1O8-MP-mp-1223089.cif,La0.25Pr0.75Ba2Cu2Nd1O8,0.0,new,structure: 46% of cations foreign to parent La3Nd(CuO4)2
Ba1.8Sr0.2Yb1Cu3O6.61-MP-mp-21129.cif,Ba1.8Sr0.2Yb1Cu3O6.61,56.7,new,structure: 47% of cations foreign to parent Sr2Cu2O5
Sr0.8Ba1.2Cu1O3.35-MP-mp-754322.cif,Sr0.8Ba1.2Cu1O3.35,50.0,new,structure: 40% of cations foreign to parent Sr2CuO4
Ba1Ni2Ge0.4P1.6-MP-mp-27809.cif,Ba1Ni2Ge0.4P1.6,2.84,new,structure: 40% of cations foreign to parent Ba(GeP)2
Ba1Ni2Ge0.6P1.4-MP-mp-27809.cif,Ba1Ni2Ge0.6P1.4,2.45,new,structure: 40% of cations foreign to parent Ba(GeP)2
Ba1Ni2Ge0.8P1.2-MP-mp-27809.cif,Ba1Ni2Ge0.8P1.2,1.38,new,structure: 40% of cations foreign to parent Ba(GeP)2
Ba1Ni2Ge1.2P0.8-MP-mp-27809.cif,Ba1Ni2Ge1.2P0.8,0.0,new,structure: 40% of cations foreign to parent Ba(GeP)2
Ba1Ni2Ge1.4P0.6-MP-mp-27809.cif,Ba1Ni2Ge1.4P0.6,0.0,new,structure: 40% of cations foreign to parent Ba(GeP)2
Ba1Ni2Ge1.6P0.4-MP-mp-27809.cif,Ba1Ni2Ge1.6P0.4,0.0,new,structure: 40% of cations foreign to parent Ba(GeP)2
Ba1Ni2Ge1.8P0.2-MP-mp-27809.cif,Ba1Ni2Ge1.8P0.2,0.0,new,structure: 40% of cations foreign to parent Ba(GeP)2
Cs1Sr1Bi0.25Pb0.75O3-MP-mp-20944.cif,Cs1Sr1Bi0.25Pb0.75O3,7.5,new,structure: 42% of cations foreign to parent Sr2PbO4
Na0.4Bi1Ta2S5-MP-mp-10014.cif,Na0.4Bi1Ta2S5,0.0,new,structure: 41% of cations foreign to parent TaS2
Bi1.09Ta2Se5.09-MP-mp-1019276.cif,Bi1.09Ta2Se5.09,1.8,new,structure: 35% of cations foreign to parent TaSe2
La0.1Sm0.9Bi1S2F0.5O0.5-MP-mp-1223105.cif,La0.1Sm0.9Bi1S2F0.5O0.5,5.2,new,structure: 45% of cations foreign to parent La4Bi4S8O3F
La0.2Sm0.8Bi1S2F0.5O0.5-MP-mp-1223105.cif,La0.2Sm0.8Bi1S2F0.5O0.5,5.43,new,structure: 40% of cations foreign to parent La4Bi4S8O3F
Th1Bi1S2O1-MP-mp-1078366.cif,Th1Bi1S2O1,0.0,new,structure: 50% of cations foreign to parent Bi2S2O
Li1Hf0.22Zr0.78N1Br1-MP-mp-1029331.cif,Li1Hf0.22Zr0.78N1Br1,16.0,new,structure: 39% of cations foreign to parent LiHf2N3
Li1Zr1N1Br1-MP-mp-541912.cif,Li1Zr1N1Br1,14.1,new,structure: 50% of cations foreign to parent ZrBrN
Pr1.29La0.7Ce0.01Cu1O4-MP-mp-1077929.cif,Pr1.29La0.7Ce0.01Cu1O4,0.0,new,structure: 43% of cations foreign to parent La2CuO4
Tl0.5Pb0.5Sr2Eu1.8Ce0.2Cu2O9-MP-mp-1218860.cif,Tl0.5Pb0.5Sr2Eu1.8Ce0.2Cu2O9,40.0,new,structure: 36% of cations foreign to parent Sr6Tl3Cu3O16
Eu0.95La0.9Ce0.15Cu1O4-MP-mp-1077929.cif,Eu0.95La0.9Ce0.15Cu1O4,17.5,new,structure: 37% of cations foreign to parent La2CuO4
Eu1.25La0.6Ce0.15Cu1O4-MP-mp-1077929.cif,Eu1.25La0.6Ce0.15Cu1O4,15.0,new,structure: 47% of cations foreign to parent La2CuO4
Gd0.5Nd1.35Ce0.15Cu1O4-MP-mp-4860.cif,Gd0.5Nd1.35Ce0.15Cu1O4,14.3,new,structure: 50% of cations foreign to parent Gd2CuO4
Gd0.51Sm1.34Ce0.15Cu1O4-MP-mp-4860.cif,Gd0.51Sm1.34Ce0.15Cu1O4,10.9,new,structure: 50% of cations foreign to parent Gd2CuO4
Nd1.295Gd0.555Ce0.15Cu1O4-MP-mp-4860.cif,Nd1.295Gd0.555Ce0.15Cu1O4,17.0,new,structure: 48% of cations foreign to parent Gd2CuO4
Sm1.295Gd0.555Ce0.15Cu1O4-MP-mp-4860.cif,Sm1.295Gd0.555Ce0.15Cu1O4,8.5,new,structure: 48% of cations foreign to parent Gd2CuO4
Gd0.71Sm1.14Ce0.15Cu1O4-MP-mp-4860.cif,Gd0.71Sm1.14Ce0.15Cu1O4,0.01,new,structure: 43% of cations foreign to parent Gd2CuO4
