id,formula,tc,origin,severity,n_flags,reasons
Bi0.16Pb0.35V0.05Sr2Ca2Cu3O10.12-MP-mp-532540.cif,Bi0.16Pb0.35V0.05Sr2Ca2Cu3O10.12,103.7,new,7,4,A:trace-dopant(V 0.0028); C:Cu-ox-4.08; G:parent-lacks-Cu(Sr3Ca6V7BiO28); G:anion-ratio--0.31(Sr3Ca6V7BiO28)
Nd1.5Ce0.5Sr2Ta1Cu2O10-MP-mp-12286.cif,Nd1.5Ce0.5Sr2Ta1Cu2O10,12.5,new,7,4,C:Cu-ox-4.75; G:parent-lacks-Cu(Sr2Ta2O7); G:anion-ratio--0.32(Sr2Ta2O7); E:literature-IQR-12.5K(n=2)
Bi3.99Cu0.01S3O4-MP-mp-1195213.cif,Bi3.99Cu0.01S3O4,3.935,new,7,4,A:trace-dopant(Cu 0.0009); C:Cu-ox-800.00; G:parent-lacks-Cu(Bi2(SO4)3); G:anion-ratio--5.75(Bi2(SO4)3)
Bi3.975Cu0.025S3O4-MP-mp-1195213.cif,Bi3.975Cu0.025S3O4,2.99,new,7,4,A:trace-dopant(Cu 0.0023); C:Cu-ox-320.00; G:parent-lacks-Cu(Bi2(SO4)3); G:anion-ratio--5.75(Bi2(SO4)3)
Bi3.95Cu0.05S3O4-MP-mp-1195213.cif,Bi3.95Cu0.05S3O4,2.595,new,7,4,A:trace-dopant(Cu 0.0045); C:Cu-ox-160.00; G:parent-lacks-Cu(Bi2(SO4)3); G:anion-ratio--5.75(Bi2(SO4)3)
Th1Ca3Ba1Cu3O9-MP-mp-1189614.cif,Th1Ca3Ba1Cu3O9,124.5,new,6,3,C:Cu-ox-3.33; G:parent-lacks-Cu(BaThO3); G:anion-ratio--0.38(BaThO3)
Bi0.16Pb0.3V0.1Sr2Ca2Cu3O10.12-MP-mp-532540.cif,Bi0.16Pb0.3V0.1Sr2Ca2Cu3O10.12,102.5,new,6,3,C:Cu-ox-4.08; G:parent-lacks-Cu(Sr3Ca6V7BiO28); G:anion-ratio--0.31(Sr3Ca6V7BiO28)
Fe0.5Ba2Ho1Cu2.5O7.49-MP-mp-1192651.cif,Fe0.5Ba2Ho1Cu2.5O7.49,76.0,new,6,3,C:Cu-ox-4.39; G:parent-lacks-Cu(BaFeO3); G:anion-ratio--0.25(BaFeO3)
Fe0.5Ba2Dy1Cu2.5O7.52-MP-mp-1522063.cif,Fe0.5Ba2Dy1Cu2.5O7.52,75.0,new,6,3,C:Cu-ox-4.42; G:parent-lacks-Cu(BaDy(FeO3)4); G:anion-ratio--0.75(BaDy(FeO3)4)
Fe0.5Ba2Er1Cu2.5O7.46-MP-mp-1192651.cif,Fe0.5Ba2Er1Cu2.5O7.46,72.0,new,6,3,C:Cu-ox-4.37; G:parent-lacks-Cu(BaFeO3); G:anion-ratio--0.26(BaFeO3)
Fe0.5Ba2Yb1Cu2.5O7.45-MP-mp-1192651.cif,Fe0.5Ba2Yb1Cu2.5O7.45,72.0,new,6,3,C:Cu-ox-4.36; G:parent-lacks-Cu(BaFeO3); G:anion-ratio--0.26(BaFeO3)
Hg0.65V0.35Sr2Ca0.55Nd0.45Cu2O6.8-MP-mp-1218581.cif,Hg0.65V0.35Sr2Ca0.55Nd0.45Cu2O6.8,67.0,new,6,3,C:Cu-ox-3.57; G:parent-lacks-Cu(SrCa3V4O12); G:anion-ratio--0.37(SrCa3V4O12)
Fe0.5Ba1Sr1Ho1Cu2.5O7.462-MP-mp-1227739.cif,Fe0.5Ba1Sr1Ho1Cu2.5O7.462,45.2,new,6,3,C:Cu-ox-4.37; G:parent-lacks-Cu(BaSr4(FeO3)5); G:anion-ratio--0.26(BaSr4(FeO3)5)
Fe0.5Ba1Sr1Yb1Cu2.5O7.432-MP-mp-1227739.cif,Fe0.5Ba1Sr1Yb1Cu2.5O7.432,29.7,new,6,3,C:Cu-ox-4.35; G:parent-lacks-Cu(BaSr4(FeO3)5); G:anion-ratio--0.26(BaSr4(FeO3)5)
Cu0.75V0.25Sr2Y1.3Ce0.7Cu2O8.77-MP-mp-1218593.cif,Cu0.75V0.25Sr2Y1.3Ce0.7Cu2O8.77,24.5,new,6,3,C:Cu-ox-3.91; G:parent-lacks-Cu(SrCe3V4O16); G:anion-ratio--0.75(SrCe3V4O16)
Y1Ba2Cu3O6050-MP-mp-643409.cif,Y1Ba2Cu3O6050,22.0,new,6,4,"A:huge-coefficient(max 6050, 6056 atoms); A:trace-dopant(Y 0.0002); C:Cu-ox-4032.00; G:anion-ratio-+1007.21(Ba4Y(CuO3)3)"
Cu0.75Ti0.25Sr2Y1.3Ce0.7Cu2O8.71-MP-mp-1218863.cif,Cu0.75Ti0.25Sr2Y1.3Ce0.7Cu2O8.71,21.0,new,6,3,C:Cu-ox-3.86; G:parent-lacks-Cu(Sr2Ce2Ti5O15); G:anion-ratio--0.42(Sr2Ce2Ti5O15)
Bi3.9Cu0.1S3O4-MP-mp-1195213.cif,Bi3.9Cu0.1S3O4,2.995,new,6,3,C:Cu-ox-80.00; G:parent-lacks-Cu(Bi2(SO4)3); G:anion-ratio--5.75(Bi2(SO4)3)
Sn0.97As0.007Te0.993-MP-mp-484.cif,Sn0.97As0.007Te0.993,0.03,new,6,3,A:trace-dopant(As 0.0036); I:Tc-0.030K(mK?); G:anion-ratio--0.48(Te3As2)
Mo1Sr2Ho1.5Ce1Cu2O10-MP-mp-16811.cif,Mo1Sr2Ho1.5Ce1Cu2O10,0.0,new,6,3,C:Cu-ox-6.00; G:parent-lacks-Cu(Ho2MoO6); G:anion-ratio--0.67(Ho2MoO6)
Mo1Sr2Tm1.5Ce1Cu2O10-MP-mp-31123.cif,Mo1Sr2Tm1.5Ce1Cu2O10,0.0,new,6,3,C:Cu-ox-6.00; G:parent-lacks-Cu(Tm2MoO6); G:anion-ratio--0.67(Tm2MoO6)
Pb3Sr3Cu3Cl1O9.5-MP-mp-1194245.cif,Pb3Sr3Cu3Cl1O9.5,0.0,new,6,3,C:Cu-ox-4.33; G:parent-lacks-Cu(SrPb2Cl6O5); G:anion-ratio--2.50(SrPb2Cl6O5)
Cu1.5Sr2Cr0.5O5.3-MP-mp-510607.cif,Cu1.5Sr2Cr0.5O5.3,0.0,new,6,3,C:Cu-ox-4.40; G:parent-lacks-Cu(SrCrO4); G:anion-ratio--0.68(SrCrO4)
La0.9Sr0.1Cu0.965Ni0.035O4-MP-mp-1218155.cif,La0.9Sr0.1Cu0.965Ni0.035O4,0.0,new,6,3,C:Cu-ox-5.21; G:parent-lacks-Cu(SrLaNiO4); G:anion-ratio-+0.67(SrLaNiO4)
Cu0.6Co0.4Cr2O4-MP-mp-18788.cif,Cu0.6Co0.4Cr2O4,0.0,new,6,3,C:Cu-ox-13.33; G:parent-lacks-Cu(CrCoO4); G:anion-ratio--0.67(CrCoO4)
Cu0.4Co0.6Cr2O4-MP-mp-18788.cif,Cu0.4Co0.6Cr2O4,0.0,new,6,3,C:Cu-ox-20.00; G:parent-lacks-Cu(CrCoO4); G:anion-ratio--0.67(CrCoO4)
Tl6CuTe2O10-MP-mp-18191.cif,Tl6CuTe2O10,0.0,new,6,3,C:Cu-ox-20.00; G:parent-lacks-Cu(Tl2TeO6); G:anion-ratio--1.79(Tl2TeO6)
Ni0.2Cu0.2Zn0.6Fe2O3-MP-mp-1215616.cif,Ni0.2Cu0.2Zn0.6Fe2O3,0.0,new,6,3,C:Cu-ox-22.00; G:parent-lacks-Cu(ZnFe4NiO8); G:anion-ratio--0.33(ZnFe4NiO8)
La3Ni1.75Cu0.25SbO9-MP-mp-1190427.cif,La3Ni1.75Cu0.25SbO9,0.0,new,6,3,C:Cu-ox-22.00; G:parent-lacks-Cu(LaSbO4); G:anion-ratio--0.50(LaSbO4)
[(NiO)0.29(CuO)0.08](ZnO)0.62(Fe2O3)1.01-MP-mp-1045634.cif,[(NiO)0.29(CuO)0.08](ZnO)0.62(Fe2O3)1.01,0.0,new,6,3,C:Cu-ox-77.75; G:parent-lacks-Cu(Zn(FeO2)4); G:anion-ratio--0.26(Zn(FeO2)4)
Cu3(NaFeSb)O6-MP-mp-2741573.cif,Cu3(NaFeSb)O6,0.0,new,6,3,C:Cu-ox-3.67; G:parent-lacks-Cu(NaSb5O13); G:anion-ratio--1.17(NaSb5O13)
Cu3Mg2(OH)6Br2-MP-mp-24006.cif,Cu3Mg2(OH)6Br2,0.0,new,6,3,C:Cu-ox-4.00; G:parent-lacks-Cu(MgH12(BrO6)2); G:anion-ratio--23.20(MgH12(BrO6)2)
Cu3Lu(SeO3)2O2Cl-MP-mp-23096.cif,Cu3Lu(SeO3)2O2Cl,0.0,new,6,3,C:Cu-ox-5.33; G:parent-lacks-Cu(LuSeClO3); G:anion-ratio--2.25(LuSeClO3)
Cu3Ho(SeO3)2O2Cl-MP-mp-23587.cif,Cu3Ho(SeO3)2O2Cl,0.0,new,6,3,C:Cu-ox-5.33; G:parent-lacks-Cu(HoSeClO3); G:anion-ratio--2.25(HoSeClO3)
(MgCoNiCuZn)O-MP-mp-1032645.cif,(MgCoNiCuZn)O,0.0,new,6,3,C:Cu-ox--2.00; G:parent-lacks-Cu(Mg6ZnNiO8); G:anion-ratio--0.80(Mg6ZnNiO8)
Tl2Ba2Ca1Cu1.98Fe0.02F0.1O7.95-MP-mp-581641.cif,Tl2Ba2Ca1Cu1.98Fe0.02F0.1O7.95,110.0,new,5,3,A:trace-dopant(Fe 0.0013); C:Cu-ox-5.00; G:anion-ratio--1.18(Ba2CaFe2CuF14)
Tl2Ba2Ca1Cu1.98Fe0.02F0.2O7.9-MP-mp-581641.cif,Tl2Ba2Ca1Cu1.98Fe0.02F0.2O7.9,109.0,new,5,3,A:trace-dopant(Fe 0.0013); C:Cu-ox-4.95; G:anion-ratio--1.18(Ba2CaFe2CuF14)
Tl2Ba2Ca0.9Ce0.1Cu1.98Fe0.02F0.2O7.9-MP-mp-581641.cif,Tl2Ba2Ca0.9Ce0.1Cu1.98Fe0.02F0.2O7.9,103.0,new,5,3,A:trace-dopant(Fe 0.0013); C:Cu-ox-4.85; G:anion-ratio--1.18(Ba2CaFe2CuF14)
Tl2Ba2Ca1Cu1.98Fe0.02F0.3O7.85-MP-mp-581641.cif,Tl2Ba2Ca1Cu1.98Fe0.02F0.3O7.85,101.0,new,5,3,A:trace-dopant(Fe 0.0013); C:Cu-ox-4.90; G:anion-ratio--1.17(Ba2CaFe2CuF14)
Er0.94Ca0.04Ba2Cu2.82Co0.18O6.76-MP-mp-18746.cif,Er0.94Ca0.04Ba2Cu2.82Co0.18O6.76,64.0,new,5,3,A:trace-dopant(Ca 0.0031); C:Cu-ox-3.35; G:parent-lacks-Cu(BaEr2CoO5)
